name,value
양천구,152
종로구,161
금천구,140
동작구,141
관악구,177
도봉구,126
성동구,135
강서구,219
광진구,171
동대문구,242
강동구,160
은평구,154
강남구,287
중구,115
중랑구,137
서초구,205
영등포구,309
성북구,155
서대문구,151
구로구,184
노원구,187
강북구,122
송파구,234
용산구,149
마포구,225
