species,lat,lng
양버즘나무,37.4820448,126.9466694
양버즘나무,37.4704724,126.939065
양버즘나무,37.477703,126.9355404
양버즘나무,37.4859702,126.9136232
은행나무,37.4851707,126.9241833
양버즘나무,37.4691867,126.9325979
감나무,37.4828478,126.9138304
은행나무,37.4670426,126.9490927
양버즘나무,37.4700887,126.9447013
양버즘나무,37.4764991,126.9795682
왕벚나무,37.4846385,126.906636
은행나무,37.476943,126.9618811
양버즘나무,37.4643467,126.9316876
양버즘나무,37.4814353,126.9055105
은행나무,37.4677888,126.9498478
은행나무,37.4681124,126.9578318
양버즘나무,37.4802229,126.8997694
은행나무,37.4866444,126.950131
양버즘나무,37.4797283,126.9426662
회화나무,37.48741,126.927614
양버즘나무,37.4710249,126.94195
은행나무,37.4856117,126.9183474
왕벚나무,37.4882356,126.9152125
은행나무,37.4865464,126.9509533
왕벚나무,37.4873854,126.9138658
은행나무,37.4813793,126.9550456
양버즘나무,37.4806053,126.9549207
은행나무,37.4731469,126.9793626
양버즘나무,37.4713648,126.9337907
은행나무,37.476814,126.96262
양버즘나무,37.4773015,126.9378636
은행나무,37.4687184,126.9513419
은행나무,37.4865151,126.9339092
느티나무,37.4858903,126.9357429
양버즘나무,37.4838223,126.9273865
느티나무,37.4874222,126.9282747
왕벚나무,37.4880248,126.9148886
양버즘나무,37.4704833,126.9388711
은단풍,37.4860732,126.9421981
은행나무,37.4697194,126.9518785
양버즘나무,37.4784165,126.9401665
양버즘나무,37.4810841,126.9537197
왕벚나무,37.4835145,126.9261372
감나무,37.4696553,126.9581085
은행나무,37.4660105,126.9577276
은행나무,37.4911103,126.9270458
양버즘나무,37.4895253,126.9265561
은행나무,37.4853266,126.9097034
복자기나무,37.4797875,126.9026767
은행나무,37.4862749,126.952317
왕벚나무,37.4756233,126.9590566
소나무,37.4725334,126.9587507
양버즘나무,37.4815465,126.9137606
양버즘나무,37.4810108,126.910923
왕벚나무,37.486574,126.9125858
은행나무,37.4821907,126.9464199
은행나무,37.4739258,126.9815024
양버즘나무,37.4849109,126.9338793
은행나무,37.4853522,126.9296912
감나무,37.4690073,126.9578497
복자기나무,37.4813428,126.9111051
양버즘나무,37.4834325,126.9225052
왕벚나무,37.4824923,126.9274803
양버즘나무,37.4649726,126.9316136
은행나무,37.4871841,126.9290546
은행나무,37.4879554,126.9306737
양버즘나무,37.4708345,126.9436022
은행나무,37.4726735,126.9529152
양버즘나무,37.4827168,126.940598
양버즘나무,37.4848745,126.9335443
양버즘나무,37.4823302,126.9438248
은행나무,37.479109,126.9525474
은행나무,37.4737793,126.981214
느티나무,37.4856857,126.9362002
소나무,37.4711634,126.9582427
왕벚나무,37.4859199,126.9112207
왕벚나무,37.4775826,126.9591881
왕벚나무,37.4775066,126.9591299
왕벚나무,37.4764784,126.9588905
복자기나무,37.4853226,126.9162686
은행나무,37.4849438,126.9142678
은행나무,37.4939042,126.9272246
양버즘나무,37.4790644,126.9581375
이팝나무,37.4793246,126.9453163
은행나무,37.4714812,126.9774842
은행나무,37.4777517,126.9160852
양버즘나무,37.4785416,126.9594641
은행나무,37.4777611,126.9601648
은행나무,37.4777208,126.9602982
은행나무,37.4772386,126.9615276
양버즘나무,37.4765018,126.9791545
은행나무,37.484937,126.9244527
은행나무,37.4861087,126.9210986
양버즘나무,37.4840238,126.927928
양버즘나무,37.4839189,126.9280698
왕벚나무,37.4735088,126.9589623
왕벚나무,37.4726086,126.9587024
은행나무,37.4638462,126.9579584
은행나무,37.4636037,126.957895
은행나무,37.4856103,126.9101186
느티나무,37.4626364,126.9574694
양버즘나무,37.4769745,126.9638233
양버즘나무,37.4816333,126.9493224
양버즘나무,37.4621316,126.9319699
복자기나무,37.4676329,126.9317622
은행나무,37.4675259,126.949956
은행나무,37.4709998,126.9526776
은행나무,37.471945,126.9530241
은행나무,37.4716908,126.9776929
양버즘나무,37.486061,126.9341386
양버즘나무,37.4845726,126.9333236
양버즘나무,37.4845015,126.9365394
양버즘나무,37.4841417,126.9373778
양버즘나무,37.4849671,126.9343639
양버즘나무,37.4792686,126.9278387
은행나무,37.4873781,126.9289781
감나무,37.4733553,126.9590804
감나무,37.4748839,126.9589392
왕벚나무,37.4742731,126.959106
왕벚나무,37.4726633,126.9588096
은행나무,37.464885,126.9578183
소나무,37.4700411,126.9581053
양버즘나무,37.4710608,126.9424887
양버즘나무,37.4716426,126.9345597
은행나무,37.4845403,126.9047189
은행나무,37.4855072,126.9294714
회화나무,37.4828177,126.9299634
감나무,37.4737213,126.9591173
감나무,37.4735272,126.9589219
감나무,37.4704378,126.9580568
왕벚나무,37.483854,126.9408954
양버즘나무,37.4761432,126.9656003
양버즘나무,37.4763066,126.9651858
은행나무,37.4751987,126.9526385
은행나무,37.4725152,126.9528833
양버즘나무,37.4674666,126.9318522
양버즘나무,37.4799222,126.9034209
양버즘나무,37.4817953,126.9135186
양버즘나무,37.482328,126.9164202
양버즘나무,37.4819712,126.9161204
양버즘나무,37.4814119,126.9130696
감나무,37.4826662,126.9139506
회화나무,37.48743,126.9277353
왕벚나무,37.4832434,126.9264991
왕벚나무,37.4834602,126.9262058
양버즘나무,37.4831411,126.9224961
은행나무,37.484956,126.9143242
은행나무,37.4850612,126.9148741
은행나무,37.4850514,126.9148224
은행나무,37.4850422,126.9147742
왕벚나무,37.4832424,126.9417362
은행나무,37.48595,126.9295869
은행나무,37.4858961,126.9296038
왕벚나무,37.4830825,126.9423727
양버즘나무,37.4825449,126.9299916
은행나무,37.4861557,126.9414816
감나무,37.4712104,126.9581991
은행나무,37.4759294,126.9528046
은행나무,37.4864612,126.9518275
왕벚나무,37.4852675,126.9469371
양버즘나무,37.470067,126.9440712
양버즘나무,37.4816369,126.9142958
양버즘나무,37.4633623,126.9316319
은행나무,37.490613,126.9563613
왕벚나무,37.4858105,126.9108413
은행나무,37.4691051,126.9579041
양버즘나무,37.4823898,126.9431596
왕벚나무,37.4862647,126.9120824
양버즘나무,37.4829302,126.94041
은단풍,37.4866079,126.9441857
은행나무,37.4865945,126.957244
은행나무,37.4792895,126.9525737
소나무,37.478688,126.951839
양버즘나무,37.478829,126.9503739
양버즘나무,37.4788905,126.94097
양버즘나무,37.4826776,126.9414284
양버즘나무,37.4823198,126.9438773
양버즘나무,37.4821515,126.9455312
왕벚나무,37.4848619,126.938023
은단풍,37.4862201,126.937647
양버즘나무,37.4779319,126.9625231
양버즘나무,37.4796454,126.9639373
양버즘나무,37.4705153,126.9386798
양버즘나무,37.470556,126.9335454
양버즘나무,37.4680352,126.9321706
양버즘나무,37.4773614,126.9129692
양버즘나무,37.4703403,126.9332382
양버즘나무,37.4712021,126.9337114
양버즘나무,37.482258,126.9420912
양버즘나무,37.4790352,126.9496232
회화나무,37.4873817,126.927479
양버즘나무,37.4775086,126.9131434
은행나무,37.4833913,126.9037
느티나무,37.4914876,126.9252243
느티나무,37.4928814,126.9246807
느티나무,37.4928377,126.9250023
느티나무,37.4926811,126.9259945
양버즘나무,37.4820785,126.9166718
은행나무,37.4851116,126.9083218
은행나무,37.4898226,126.9568918
소나무,37.4722168,126.9585522
양버즘나무,37.4715703,126.9347166
느티나무,37.4870244,126.9255891
양버즘나무,37.4896335,126.9258933
양버즘나무,37.4830007,126.9201148
양버즘나무,37.483087,126.9205929
은행나무,37.4862881,126.9230277
은행나무,37.4863112,126.9216599
은행나무,37.4864204,126.9222556
양버즘나무,37.4838725,126.9278307
양버즘나무,37.4790755,126.9477994
양버즘나무,37.4791821,126.9467775
양버즘나무,37.4792428,126.9461208
감나무,37.4840054,126.9117349
왕벚나무,37.4849254,126.9076711
은행나무,37.4849914,126.9554497
양버즘나무,37.4792411,126.9412651
은행나무,37.4816307,126.9546814
양버즘나무,37.478106,126.9627726
양버즘나무,37.4876549,126.931343
감나무,37.4697728,126.9580465
은행나무,37.4864082,126.936447
왕벚나무,37.483514,126.946533
은행나무,37.4937176,126.9271788
은행나무,37.477843,126.9599818
