name,proportion
경상남도 창원시 마산회원구,1.00
경상남도 창원시 진해구,1.00
경상남도 진주시,1.00
경상남도 통영시,1.00
경상남도 사천시,1.00
경상남도 김해시,0.67
경상남도 밀양시,1.00
경상남도 거제시,1.00
경상남도 양산시,0.72
경상남도 의령군,1.00
경상남도 함안군,1.00
경상남도 창녕군,1.00
경상남도 고성군,1.00
경상남도 남해군,1.00
경상남도 하동군,1.00
경상남도 산청군,1.00
경상남도 함양군,1.00
경상남도 거창군,1.00
경상남도 합천군,1.00
제주특별자치도 제주시,1.00
제주특별자치도 서귀포시,1.00
