region,death
Jongro-gu,3
Jung-gu,2
Yongsan-gu,4
Seongdong-gu,4
Gwangjin-gu,11
Dongdaemun-gu,3
Jungnang-gu,4
Seongbuk-gu,8
Gangbuk-gu,7
Dobong-gu,9
Nowon-gu,4
Eunpyeong-gu,7
Seodaemun-gu,7
Mapo-gu,7
Yangcheon-gu,6
Gangseo-gu,13
Guro-gu,8
Geumcheon-gu,6
Yeongdeungpo-gu,12
Dongjak-gu,4
Gwanak-gu,9
Seocho-gu,6
Gangnam-gu,6
Songpa-gu,9
Gangdong-gu,8
