Line,Station,date,total,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00,24:00-25:00
7,Naebang,20141001,17079,100,346,999,1400,929,607,647,632,693,691,782,852,1118,2791,1438,940,992,746,314,62
7,Naebang,20141002,17485,94,340,963,1394,917,609,654,627,682,713,784,942,1261,2855,1578,884,929,848,319,92
7,Naebang,20141003,7875,88,197,244,386,512,470,494,487,500,464,553,545,640,551,454,369,401,374,146,0
7,Naebang,20141004,9139,86,208,245,386,544,496,592,623,725,654,651,717,732,677,459,381,463,323,177,0
7,Naebang,20141005,6115,57,157,195,271,391,403,371,437,503,429,415,458,434,377,276,289,310,236,106,0
7,Naebang,20141006,17787,112,364,1002,1418,855,643,606,663,688,747,848,900,1212,2925,1569,945,1123,777,322,68
7,Naebang,20141007,17671,90,361,1005,1478,910,705,690,614,743,708,705,897,1165,2934,1495,950,1060,807,304,50
7,Naebang,20141008,17890,107,345,987,1474,923,708,654,638,682,775,796,919,1229,2903,1473,938,1020,820,411,88
7,Naebang,20141009,7916,74,213,260,412,502,459,491,492,471,494,526,522,598,584,457,377,450,382,152,0
7,Naebang,20141010,16719,101,319,802,1286,843,660,684,660,702,734,808,891,1250,2638,1522,821,891,684,358,65
7,Naebang,20141011,10047,85,231,329,501,651,615,629,724,769,810,674,771,756,664,498,401,427,375,134,3
7,Naebang,20141012,6566,77,180,247,279,429,428,361,483,487,501,473,484,425,435,267,340,296,259,115,0
7,Naebang,20141013,18072,106,351,1001,1443,940,669,659,611,735,733,822,962,1273,3010,1615,987,1073,738,271,73
7,Naebang,20141014,17741,98,355,1004,1423,930,655,671,607,650,649,776,958,1281,2874,1514,985,1039,886,328,58
7,Naebang,20141015,17761,110,343,976,1455,904,641,629,652,677,675,754,883,1300,2971,1587,967,996,869,320,52
7,Naebang,20141016,17501,102,321,967,1507,960,672,632,652,652,668,773,851,1165,2871,1399,985,1105,825,340,54
7,Naebang,20141017,17288,100,346,946,1415,867,650,584,680,660,676,832,949,1258,2861,1551,894,868,692,384,75
7,Naebang,20141018,10389,97,236,325,514,713,611,762,704,795,820,680,782,802,695,458,397,441,395,161,1
7,Naebang,20141019,6470,81,160,208,307,390,450,400,448,461,460,445,410,442,423,368,294,337,283,103,0
7,Naebang,20141020,17207,99,320,999,1326,862,597,586,622,612,650,722,941,1246,2992,1483,955,1069,740,317,69
7,Naebang,20141021,17126,98,339,1002,1426,912,606,555,615,642,631,736,845,1179,2824,1533,908,1026,822,364,63
7,Naebang,20141022,17567,115,310,977,1397,968,629,598,663,624,733,771,895,1294,2979,1445,964,984,835,320,66
7,Naebang,20141023,17815,103,325,937,1468,885,683,612,634,725,673,758,970,1273,2914,1489,998,1084,861,335,88
7,Naebang,20141024,17662,102,321,949,1420,984,650,593,626,697,699,850,899,1314,2891,1567,905,943,792,375,85
7,Naebang,20141025,10141,88,223,310,538,641,603,712,701,809,717,645,727,795,665,495,402,438,445,187,0
7,Naebang,20141026,6466,66,173,185,274,424,407,367,462,473,481,448,477,419,466,320,285,326,286,127,0
7,Naebang,20141027,17778,108,356,992,1391,903,652,574,633,672,642,807,852,1411,2968,1609,965,1047,761,343,92
7,Naebang,20141028,17893,94,336,1025,1448,928,661,683,639,630,701,778,868,1313,2926,1570,935,1073,835,375,75
7,Naebang,20141029,17721,108,323,982,1405,955,665,640,674,638,691,739,939,1287,2927,1533,967,984,878,315,71
7,Naebang,20141030,17643,99,332,957,1445,970,626,623,644,669,674,752,947,1318,2697,1469,1069,1016,865,388,83
7,Naebang,20141031,17546,99,318,918,1379,941,625,597,608,697,755,856,933,1282,2846,1557,917,956,759,401,102
