Line,Station,date,total,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00,24:00-25:00
7,Naebang,20141101,10018,93,212,267,488,624,551,642,697,822,785,712,745,804,693,461,382,458,399,182,1
7,Naebang,20141102,6334,68,142,154,304,394,358,361,470,501,446,469,457,453,441,326,296,353,239,102,0
7,Naebang,20141103,17795,118,317,1011,1436,848,663,571,607,672,746,736,857,1293,3079,1583,982,1067,816,323,70
7,Naebang,20141104,17696,96,323,978,1473,952,642,574,602,607,714,749,913,1299,2867,1589,977,1101,854,313,73
7,Naebang,20141105,17699,97,324,995,1444,878,682,620,740,673,691,727,956,1286,2957,1454,957,1029,800,317,72
7,Naebang,20141106,17641,93,323,935,1502,933,688,570,572,684,682,815,911,1302,2831,1469,954,1071,854,380,72
7,Naebang,20141107,17502,107,307,937,1447,891,633,653,571,714,686,846,959,1387,2957,1527,841,863,754,341,81
7,Naebang,20141108,10016,86,224,283,476,562,606,657,743,797,689,679,757,844,655,547,395,458,377,180,1
7,Naebang,20141109,6314,62,183,179,285,433,374,331,395,454,491,456,438,424,426,324,274,360,310,114,1
7,Naebang,20141110,17701,121,337,987,1430,891,615,570,628,741,687,819,912,1293,2868,1580,1017,1013,808,296,88
7,Naebang,20141111,17684,105,339,938,1462,949,678,614,614,646,654,766,882,1348,2918,1608,974,1035,780,317,57
7,Naebang,20141112,17788,107,312,984,1482,901,795,639,755,765,660,735,866,1326,2968,1483,984,955,735,276,60
7,Naebang,20141113,17356,104,379,888,1359,1104,639,608,597,630,644,756,890,1264,2720,1529,857,1109,861,337,81
7,Naebang,20141114,17515,103,300,898,1367,873,622,596,616,680,755,848,901,1278,2968,1691,850,928,784,370,87
7,Naebang,20141115,10099,94,219,323,534,573,558,651,708,756,668,678,908,802,729,521,369,443,398,167,0
7,Naebang,20141116,6496,58,138,192,336,329,368,348,464,517,477,487,512,475,431,331,290,342,260,137,4
7,Naebang,20141117,17683,105,316,944,1396,878,679,577,595,714,698,747,880,1397,2934,1594,938,1134,782,300,75
7,Naebang,20141118,17723,92,314,943,1445,954,639,607,549,614,690,777,993,1268,2903,1578,991,1152,826,324,64
7,Naebang,20141119,17739,112,325,936,1469,891,647,622,695,731,689,769,943,1261,2958,1459,945,1010,884,334,59
7,Naebang,20141120,17824,101,307,987,1454,924,584,612,636,686,709,763,989,1333,2785,1504,965,1112,926,371,76
7,Naebang,20141121,17484,97,319,944,1395,958,675,631,616,665,718,833,934,1354,2924,1478,841,843,760,398,101
7,Naebang,20141122,10058,81,190,281,491,608,577,618,731,764,725,721,834,841,711,481,434,430,376,164,0
7,Naebang,20141123,6665,71,153,183,280,405,380,360,439,507,486,504,548,516,494,330,297,342,257,110,3
7,Naebang,20141124,17765,97,331,944,1331,908,614,590,688,711,705,820,949,1400,2919,1621,975,1001,778,310,73
7,Naebang,20141125,17723,95,316,965,1468,967,662,626,692,663,673,779,865,1256,2784,1557,1035,1070,876,315,59
7,Naebang,20141126,17821,95,313,968,1453,933,670,612,758,721,741,799,918,1361,2738,1505,956,1006,855,363,56
7,Naebang,20141127,17581,84,337,910,1442,1003,628,632,609,660,688,763,961,1284,2768,1461,904,1079,912,371,85
7,Naebang,20141128,17405,91,322,923,1346,955,613,593,626,666,702,820,939,1304,2693,1694,937,924,808,374,75
7,Naebang,20141129,10135,70,227,260,462,591,609,627,732,776,720,702,815,853,680,550,394,455,407,205,0
7,Naebang,20141130,6349,54,138,187,232,347,387,343,436,501,545,485,468,449,435,349,283,334,254,121,1
