Line,Station,date,total,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00,24:00-25:00
7,Naebang,20140901,17822,115,366,1012,1365,911,655,642,640,666,734,849,935,1208,2818,1629,994,1110,756,333,84
7,Naebang,20140902,17734,101,379,995,1440,946,602,627,606,639,677,772,923,1226,2899,1664,941,1065,795,364,73
7,Naebang,20140903,17486,114,327,963,1420,863,651,683,638,706,648,776,858,1212,2920,1553,974,1022,749,346,63
7,Naebang,20140904,18120,108,370,996,1398,928,702,609,627,693,686,806,974,1368,2816,1661,937,1086,874,409,72
7,Naebang,20140905,17298,110,345,930,1311,882,648,669,724,759,895,1060,1286,1630,2398,1184,734,745,629,290,69
7,Naebang,20140906,7879,107,213,237,432,490,511,534,576,573,518,594,564,623,535,366,268,359,231,147,1
7,Naebang,20140907,4371,55,152,164,223,286,300,251,354,356,332,322,280,304,219,191,190,175,140,76,1
7,Naebang,20140908,3409,56,137,179,152,175,186,250,227,226,198,208,219,245,236,181,159,153,140,58,24
7,Naebang,20140909,4374,49,140,112,178,257,254,287,287,308,303,286,306,306,273,231,199,248,211,110,29
7,Naebang,20140910,8241,68,155,248,426,468,439,430,434,447,500,579,556,661,880,534,422,474,363,155,2
7,Naebang,20140911,17274,96,353,1024,1334,844,635,580,605,605,662,787,869,1204,2880,1608,948,1025,831,336,48
7,Naebang,20140912,17681,92,349,984,1365,878,675,602,648,693,718,812,992,1307,2973,1720,849,859,731,364,70
7,Naebang,20140913,9921,83,217,288,516,620,571,658,700,718,703,678,781,817,662,520,411,430,381,167,0
7,Naebang,20140914,6425,56,169,194,270,405,375,355,451,483,480,494,548,402,419,315,285,366,243,115,0
7,Naebang,20140915,18137,92,369,1074,1386,900,656,631,545,672,760,844,923,1335,3098,1599,980,1105,785,309,74
7,Naebang,20140916,17998,106,366,1077,1431,926,635,671,619,691,652,790,901,1358,2910,1620,954,1096,830,304,61
7,Naebang,20140917,17809,96,360,1026,1430,911,676,606,687,690,685,735,869,1291,3051,1529,1016,959,792,320,80
7,Naebang,20140918,17982,111,335,968,1434,948,644,632,596,667,704,773,931,1313,3003,1563,1001,1088,846,345,80
7,Naebang,20140919,17870,118,348,964,1369,875,646,643,652,736,712,849,937,1274,2993,1694,846,951,819,363,81
7,Naebang,20140920,10519,90,213,336,548,638,618,658,694,752,723,698,817,826,756,612,442,505,424,169,0
7,Naebang,20140921,6409,76,174,163,259,385,387,376,412,461,520,459,454,420,430,287,333,375,310,128,0
7,Naebang,20140922,18034,110,365,1047,1340,932,613,611,621,715,709,838,950,1318,2999,1643,985,1076,800,306,56
7,Naebang,20140923,17949,104,358,1024,1422,958,662,609,624,696,669,868,873,1347,2968,1605,939,1017,833,317,56
7,Naebang,20140924,17748,67,257,946,1442,857,601,591,691,696,737,762,935,1387,3013,1519,957,1002,844,344,100
7,Naebang,20140925,17859,85,357,1018,1425,933,705,640,605,695,695,861,896,1282,2783,1515,1039,1042,896,320,67
7,Naebang,20140926,17845,121,340,955,1385,976,669,613,649,611,736,876,871,1362,2980,1615,934,890,853,334,75
7,Naebang,20140927,10458,99,216,324,604,609,601,675,727,778,788,727,757,801,694,510,444,461,460,180,3
7,Naebang,20140928,6632,74,156,198,324,396,395,373,457,461,525,533,483,487,450,319,303,330,252,116,0
7,Naebang,20140929,17741,111,338,1013,1400,863,659,601,633,668,706,812,855,1158,3020,1562,1018,1125,765,362,72
7,Naebang,20140930,17798,118,333,994,1437,927,635,607,641,689,710,790,908,1221,2785,1655,928,1070,890,385,75
