Line,Station,date,total,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00,24:00-25:00
7,Naebang,20141201,17641,104,320,987,1421,901,713,636,585,743,705,737,851,1283,2975,1621,978,1023,755,237,66
7,Naebang,20141202,17271,86,318,905,1497,988,653,543,576,543,649,707,893,1306,2834,1557,928,1045,862,320,61
7,Naebang,20141203,17796,85,291,1027,1493,914,691,584,694,685,676,727,908,1347,3016,1495,963,1000,762,368,70
7,Naebang,20141204,17560,91,284,901,1475,909,586,611,627,740,660,858,910,1336,2897,1451,958,981,829,396,60
7,Naebang,20141205,17457,88,302,854,1382,883,601,566,592,644,684,874,928,1426,3000,1678,937,845,753,353,67
7,Naebang,20141206,10337,90,186,235,439,574,528,655,732,768,744,730,898,966,710,545,383,508,487,159,0
7,Naebang,20141207,6482,51,138,157,239,376,370,323,478,498,528,458,525,528,415,342,284,344,286,141,1
7,Naebang,20141208,17712,98,313,937,1433,921,631,613,621,669,709,768,996,1314,2908,1661,941,1027,773,321,58
7,Naebang,20141209,17625,85,310,894,1442,967,642,573,606,681,680,805,900,1320,2895,1552,983,1099,799,323,69
7,Naebang,20141210,17952,108,311,892,1373,966,648,669,722,758,686,800,936,1423,2929,1548,945,1004,849,324,61
7,Naebang,20141211,17961,81,318,870,1411,938,647,643,659,734,731,832,984,1381,2763,1439,1006,1192,867,403,62
7,Naebang,20141212,17881,95,298,886,1368,929,614,648,635,692,705,861,1061,1530,2929,1576,870,925,821,363,75
7,Naebang,20141213,10561,72,189,241,520,639,585,658,723,754,752,765,890,937,705,486,435,517,492,201,0
7,Naebang,20141214,6631,66,148,164,267,348,346,387,440,508,542,521,524,516,460,332,298,353,296,115,0
7,Naebang,20141215,18264,102,302,911,1360,931,699,624,688,765,781,861,945,1417,2966,1749,946,983,832,340,62
7,Naebang,20141216,18209,91,300,942,1439,932,642,648,700,691,731,832,975,1476,2972,1500,954,1125,858,341,60
7,Naebang,20141217,17212,93,279,872,1345,855,601,592,713,643,705,781,850,1268,2932,1536,994,979,773,330,71
7,Naebang,20141218,17215,81,274,857,1318,854,605,654,636,664,735,795,921,1258,2811,1538,913,1007,823,380,91
7,Naebang,20141219,17775,76,291,839,1354,880,667,603,641,682,784,850,1041,1406,2970,1569,801,922,844,470,85
7,Naebang,20141220,10577,106,200,232,464,565,608,731,755,794,748,806,888,895,772,497,439,447,422,207,1
7,Naebang,20141221,6723,73,135,156,237,363,384,354,449,539,541,560,508,551,510,283,328,348,296,107,1
7,Naebang,20141222,17899,115,298,900,1366,935,641,595,665,783,748,836,903,1376,2860,1646,988,1006,819,343,76
7,Naebang,20141223,17661,92,303,848,1363,877,661,640,610,677,751,849,1019,1306,2775,1523,976,1030,865,430,66
7,Naebang,20141224,18201,96,294,834,1352,889,586,638,761,735,807,881,1100,1762,3404,1603,838,707,587,268,59
7,Naebang,20141225,6855,59,177,145,276,373,370,348,509,594,538,551,489,515,441,350,304,366,316,133,1
7,Naebang,20141226,16623,85,288,730,1133,794,626,658,671,710,753,862,924,1364,2617,1465,836,856,761,406,84
7,Naebang,20141227,10101,66,166,233,417,599,527,612,722,732,694,726,836,975,681,462,445,584,478,146,0
7,Naebang,20141228,6489,73,156,160,256,389,401,356,420,532,526,522,510,415,386,308,313,332,296,137,1
7,Naebang,20141229,17300,91,296,770,1262,848,626,704,644,725,745,874,957,1382,2745,1531,927,891,814,377,91
7,Naebang,20141230,17301,90,279,779,1195,859,650,638,643,745,821,860,965,1303,2665,1453,1005,998,883,368,102
7,Naebang,20141231,16332,86,252,667,1166,801,612,635,723,861,1046,1113,1297,1579,1998,1174,821,611,516,192,182
