Line,Station,date,total,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00,24:00-25:00
7,Naebang,20140401,17949,101,381,1071,1413,960,703,622,567,706,727,703,911,1211,2856,1665,1016,1077,857,338,64
7,Naebang,20140402,18090,106,364,1052,1463,919,677,605,712,700,706,826,880,1233,2945,1681,911,1079,818,341,72
7,Naebang,20140403,17793,87,379,1042,1434,924,663,656,604,642,705,783,977,1154,2828,1605,969,1073,844,370,54
7,Naebang,20140404,17996,95,351,1001,1396,869,669,637,634,677,741,934,1025,1257,3045,1677,877,947,732,365,67
7,Naebang,20140405,10240,90,215,268,531,675,572,655,718,755,758,675,753,823,688,553,438,543,378,151,1
7,Naebang,20140406,6572,77,146,178,289,405,412,405,428,485,478,461,458,439,430,367,341,387,277,108,1
7,Naebang,20140407,18470,105,393,1059,1422,917,678,683,553,691,686,813,1061,1249,2955,1709,1044,1198,847,336,71
7,Naebang,20140408,18408,106,370,1007,1458,949,713,687,643,694,668,823,937,1249,2893,1706,993,1220,903,335,54
7,Naebang,20140409,18269,102,356,1008,1432,911,639,610,723,714,705,857,931,1310,2935,1669,995,1099,891,325,57
7,Naebang,20140410,18024,88,370,1036,1430,877,676,615,610,631,716,853,942,1219,2967,1566,998,1102,917,342,69
7,Naebang,20140411,18148,108,336,973,1380,856,718,653,610,708,736,829,1005,1353,3016,1598,984,951,877,392,65
7,Naebang,20140412,10157,106,212,280,520,676,572,629,696,772,700,769,726,849,690,530,401,472,427,130,0
7,Naebang,20140413,6630,75,170,220,302,401,377,389,435,493,529,487,481,444,409,358,327,334,271,128,0
7,Naebang,20140414,18568,107,395,1066,1398,923,676,643,645,692,722,863,893,1333,2982,1765,1012,1193,882,313,65
7,Naebang,20140415,18528,113,381,1053,1450,934,744,564,598,731,730,813,912,1401,2963,1652,980,1200,915,329,65
7,Naebang,20140416,18172,100,380,1032,1487,916,664,611,672,627,676,758,859,1344,3050,1669,1057,1044,863,297,66
7,Naebang,20140417,18145,95,382,1031,1427,957,671,644,596,643,742,795,982,1282,2967,1571,1032,1104,857,302,65
7,Naebang,20140418,18006,90,347,995,1376,938,672,657,638,686,741,830,1024,1235,3000,1710,899,947,836,318,67
7,Naebang,20140419,10259,87,231,304,550,661,542,652,810,759,657,720,822,796,643,538,487,463,381,156,0
7,Naebang,20140420,6319,84,148,174,299,395,420,359,412,435,438,441,454,390,441,366,339,352,252,120,0
7,Naebang,20140421,18243,118,392,1053,1332,847,678,620,635,692,715,844,949,1313,2869,1770,1130,1149,785,286,66
7,Naebang,20140422,18072,105,387,1040,1402,918,653,585,535,699,783,778,900,1261,2990,1575,1084,1121,846,344,66
7,Naebang,20140423,17987,126,380,1011,1385,900,616,628,626,717,739,806,894,1243,2862,1658,1070,1107,834,325,60
7,Naebang,20140424,18016,99,392,995,1354,917,706,659,595,679,779,800,911,1188,2905,1587,1060,1016,917,395,62
7,Naebang,20140425,18018,122,357,957,1337,912,690,685,583,703,742,842,977,1288,2961,1645,969,947,830,386,85
7,Naebang,20140426,10272,100,202,279,537,658,515,702,691,806,668,748,744,734,714,553,443,560,438,180,0
7,Naebang,20140427,6235,64,155,163,295,348,375,384,395,463,475,468,420,413,474,321,321,336,266,98,1
7,Naebang,20140428,17782,100,364,991,1354,883,609,650,609,649,638,779,845,1356,2921,1710,983,1141,825,312,63
7,Naebang,20140429,18075,107,381,1012,1395,937,644,632,603,791,767,783,877,1210,2870,1599,1006,1165,869,349,78
7,Naebang,20140430,17851,111,355,1011,1447,894,693,661,746,727,744,789,908,1157,2778,1619,969,1014,815,330,83
