Line,Station,date,total,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00,24:00-25:00
7,Naebang,20140223,6292,76,142,129,265,399,342,327,470,520,460,440,492,480,399,351,257,377,269,97, - 
7,Naebang,20140224,17220,95,324,817,1227,836,656,645,623,662,731,824,916,1204,2910,1641,1003,991,754,306,55
7,Naebang,20140225,17292,105,299,809,1277,870,653,626,613,674,718,761,881,1295,2837,1648,1073,1058,754,287,54
7,Naebang,20140226,17399,91,326,801,1293,800,625,629,715,814,740,787,851,1215,2840,1633,996,1103,758,320,62
7,Naebang,20140227,17283,100,296,826,1258,853,634,625,757,715,729,819,910,1214,2718,1584,965,1074,814,320,72
7,Naebang,20140228,17186,80,297,766,1257,860,636,634,603,731,819,806,965,1244,2750,1634,960,943,781,347,73
7,Naebang,20140301,8288,83,157,224,361,477,461,492,566,654,550,625,633,660,606,463,367,434,325,149,1
7,Naebang,20140302,6299,72,170,163,263,389,332,339,426,482,509,417,503,422,449,373,293,355,220,122, - 
7,Naebang,20140303,17858,110,360,1019,1347,884,662,659,633,645,724,814,871,1160,2910,1751,1060,1069,834,294,52
7,Naebang,20140304,17765,90,352,1000,1411,950,636,615,564,668,752,728,933,1203,2856,1609,1014,1162,838,312,72
7,Naebang,20140305,17850,104,367,982,1437,919,619,654,664,670,707,747,862,1200,2872,1693,1014,1214,781,296,48
7,Naebang,20140306,17401,82,374,948,1385,931,613,600,630,661,689,727,865,1173,2750,1618,985,1102,919,295,54
7,Naebang,20140307,17661,99,347,953,1386,858,634,601,604,699,782,836,927,1266,2893,1707,907,968,823,317,54
7,Naebang,20140308,10326,89,202,259,492,605,568,671,709,734,738,726,793,832,740,577,433,577,404,176,1
7,Naebang,20140309,6405,69,128,149,308,382,376,346,433,499,456,453,465,515,428,371,311,360,246,110, - 
7,Naebang,20140310,18221,100,366,1064,1396,873,690,620,599,663,677,804,934,1239,2861,1713,1121,1287,846,315,53
7,Naebang,20140311,18089,97,334,1023,1459,913,686,643,613,653,667,784,915,1269,2877,1613,1009,1239,912,335,48
7,Naebang,20140312,17923,95,335,967,1500,902,698,595,659,676,684,809,818,1245,2897,1588,992,1186,867,357,53
7,Naebang,20140313,17931,86,348,961,1425,915,655,583,630,644,718,732,938,1295,2823,1646,1069,1168,903,332,60
7,Naebang,20140314,18384,95,340,938,1417,881,692,706,632,774,791,885,965,1256,2904,1787,971,1036,875,379,60
7,Naebang,20140315,10402,97,196,255,524,578,610,650,779,774,728,718,781,891,757,469,475,564,369,186,1
7,Naebang,20140316,6621,77,169,153,325,378,387,379,430,501,438,480,556,489,434,371,300,385,273,96, - 
7,Naebang,20140317,18430,101,372,1030,1386,916,703,710,648,683,709,845,820,1319,2897,1632,1136,1264,862,330,67
7,Naebang,20140318,17981,100,339,1026,1428,931,715,624,591,659,686,760,862,1211,2912,1575,990,1192,936,375,69
7,Naebang,20140319,18030,92,352,1024,1412,971,646,621,689,644,731,785,843,1305,2826,1601,1036,1139,909,330,74
7,Naebang,20140320,17898,91,357,991,1452,957,636,583,646,642,723,763,999,1233,2866,1581,1019,1080,843,366,70
7,Naebang,20140321,18222,101,314,971,1380,888,683,676,675,668,722,863,936,1385,2911,1817,947,958,872,381,74
7,Naebang,20140322,10591,80,199,263,521,605,555,694,755,822,779,739,820,870,784,544,459,516,420,166, - 
7,Naebang,20140323,6580,66,133,142,293,409,400,396,438,472,496,535,507,432,444,370,322,355,252,118, - 
7,Naebang,20140324,18452,98,406,1009,1419,986,641,665,639,672,703,782,910,1360,2828,1719,1075,1221,917,333,69
7,Naebang,20140325,18282,95,347,1039,1435,936,660,682,590,711,743,768,936,1228,2868,1670,1039,1218,926,337,54
7,Naebang,20140326,18369,99,357,1028,1464,941,662,643,713,733,742,777,887,1248,2872,1567,1055,1168,965,378,70
7,Naebang,20140327,18110,89,351,1012,1386,949,683,717,658,680,713,798,971,1226,2674,1619,993,1176,964,358,93
7,Naebang,20140328,18008,102,354,985,1356,916,711,642,642,756,751,863,946,1241,2801,1726,900,1058,813,366,79
7,Naebang,20140329,10170,85,200,271,492,604,541,682,736,816,715,745,795,777,674,511,418,551,358,199, - 
