country,value
Australia,18.9
Austria,28.4
Belgium,30.6
Canada,16.9
CZE,20.5
Denmark,30.1
Finland,31.0
France,31.8
Germany,25.8
Greece,24.0
Hungary,22.1
Iceland,16.5
Ireland,20.9
Italy,28.6
Korea,10.4
LUX,23.5
Netherlands,24.7
Norway,22.0
Poland,20.6
Portugal,25.2
Slovenia,18.3
Spain,26.7
Sweden,28.1
Switzerland,19.3
UK,21.7
US,19.2
Estonia,16.2
Slovenia,23.7
