name,value
종로구,73.0
중구,72.1
용산구,71.5
성동구,74.4
광진구,75.2
동대문구,74.4
중랑구,72.7
성북구,74.5
강북구,72.7
도봉구,76.0
노원구,77.7
은평구,73.5
서대문구,75.0
마포구,76.1
양천구,76.6
강서구,75.5
구로구,76.8
금천구,72.8
영등포구,75.2
동작구,77.0
관악구,74.7
서초구,76.8
강남구,74.4
송파구,76.9
강동구,75.7
