변안열,정도전,,,,
이성계,이지란,변안열,,,
정몽주,이성계,,,,
이성계,이지란,배극렴,변안열,정몽주,
이인임,최영,임견미,염흥방,,
임견미,이인임,염흥방,,,
강씨,무덕대사,업둥이,,,
업둥이,무덕대사,,,,
이성계,이지란,변안열,배극렴,정몽주,
정도전,배극렴,,,,
정도전,정몽주,,,,
이인임,최영,,,,
이성계,정몽주,정도전,,,
정몽주,이지란,배극렴,이성계,변안열,
배극렴,이지란,정몽주,변안열,이성계,
이성계,이지란,변안열,정몽주,배극렴,
이성계,아즈발도,,,,
이성계,이지란,정몽주,,,
정몽주,배극렴,변안열,,,
이성계,이지란,,,
이성계,아즈발도,,,,
이성계,이지란,변안열,아즈발도,배극렴
이성계,아즈발도,,,,
이지란,변안열,,,,
이성계,정몽주,,,,
이성계,정몽주,변안열,배극렴,이지란,
이성계,우왕,,,,
임견미,이인임,염흥방,하륜,,
이성계,강씨,최영,,,
이성계,이인임,강씨,,,
최씨,정도전,,,,
이색,정몽주,이숭인,권근,,
정도전,최씨,,,,
무덕대사,업둥이,,,,
최씨,업둥이,,,,
정도전,업둥이,,,,
