이성계,남은,,,,
이성계,정도전,,,,
이성계,이지란,남은,,,
강씨,정도전,이방원,,,
정도전,이방원,,,,
조민수,변안열,배극렴,,,
이성계,조민수,이지란,배극렴,남은,변안열
정도전,최씨,,,,
정도전,최씨,정몽주,,,
우왕,최영,안소,정승가,,
정도전,정몽주,,,,
정도전,이방원,,,,
우왕,이색,정몽주,최영,,
우왕,최영,,,,
이성계,조민수,이지란,배극렴,변안열,김완
김완,이지란,변안열,,,
이성계,조민수,,,,
김완,이지란,변안열,이성계,남은,조민수
이색,정몽주,권근,이첨,,
우왕,최영,배극렴,,,
배극렴,이방우,이방과,,,
정도전,이방원,,,,
이방원,조영규,,,,
최영,우왕,,,,
최영,배극렴,,,,
배극렴,이성계,조민수,변안열,이지란,남은
이성계,배극렴,이지란,남은,,
배극렴,이성계,,,,
정도전,이방원,,,,
정도전,윤소종,,,,
조민수,변안열,,,,
이성계,배극렴,남은,이지란,,
이성계,배극렴,남은,이지란,조민수,변안열
변안열,조민수,배극렴,남은,이지란,이성계
우왕,최영,정승가,,,
최영,정승가,,,,
이성계,이지란,변안열,조민수,,
