이인임,정도전,,,,,,
이방원,조영규,정도전,,,,,
이성계,정몽주,정도전,,,,,
창왕,근비,윤소종,정도전,남은,,,
이색,정도전,남은,,,,,
이인임,조민수,,,,,,
근비,조민수,창왕,,,,,
창왕,근비,이색,조민수,변안열,,,
이지란,이성계,이방번,이방석,강씨,,,
이성계,강씨,,,,,,
이성계,정도전,,,,,,
이색,정몽주,권근,,,,,
정도전,윤소종,조준,남은,이색,정몽주,권근,이첨
정도전,이색,,,,,,
정도전,정몽주,,,,,,
정도전,조준,,,,,,
하륜,조민수,,,,,,
조민수,조준,,,,,,
정도전,윤소종,남은,,,,,
이방원,이성계,,,,,,
최영,이성계,이지란,,,,,
이성계,이지란,정몽주,,,,,
정도전,윤소종,남은,정몽주,,,,
정몽주,정도전,,,,,,
정몽주,정도전,이성계,이지란,,,,
이성계,이지란,,,,,,
정도전,정몽주,남은,윤소종,이성계,,,
이성계,정도전,,,,,,
정도전,정몽주,남은,윤소종,이성계,배극렴,이지란,이방원
창왕,이성계,근비,,,,,
조민수,조준,,,,,,
이성계,하륜,정도전,정몽주,윤소종,남은,이방원,
정도전,정몽주,이성계,,,,,
조민수,배극렴,이색,조준,이숭인,변안열,하륜,
조준,조민수,,,,,,
정도전,조준,,,,,,
이인임,이성계,,,,,,
