이성계,정도전,,,,,
정몽주,이지란,,,,,
이성계,정도전,,,,,
정도전,정몽주,,,,,
이지란,이성계,정몽주,,,,
강씨,이방우,이방과,임견미,,,
강씨,이방우,이방과,,,,
임견미,이인임,염흥방,하륜,,,
최영,이인임,,,,,
이숭인,권근,이색,최영,,,
이지란,이성계,이방원,정몽주,,,
정몽주,이성계,,,,,
대비안씨,이인임,근비,우왕,,,
이인임,우왕,,,,,
이성계,정몽주,이지란,이방원,,,
최영,이성계,배극렴,변안열,정몽주,이지란,이방원
최영,이성계,,,,,
강씨,이방우,이방과,이성계,,,
강씨,이지란,이방원,,,,
정도전,최씨,,,,,
이성계,염흥방,임견미,배극렴,변안열,최영,정몽주
우왕,이성계,,,,,
우왕,이인임,,,,,
이인임,정몽주,염흥방,배극렴,임견미,최영,변안열
최영,이성계,,,,,
강씨,이방원,정몽주,이방과,이방우,,
이방원,정몽주,,,,,
정도전,이방원,,,,,
이성계,임견미,,,,,
이성계,정도전,,,,,
정도전,이방원,,,,,
이성계,이방원,,,,,
이인임,이성계,,,,,
