이인임,정도전,남은,최영,,,,,
이인임,정도전,,,,,,,
하륜,이인임,,,,,,,
하륜,우왕,,,,,,,
최영,이성계,,,,,,,
이인임,하륜,,,,,,,
이인임,하륜,,,,,,
이인임,하륜,,,,,,,
남은,정도전,,,,,,,
남은,정도전,이성계,이지란,이방원,,,,
최영,하륜,이인임,,,,,,
이인임,최영,,,,,,,
이인임,하륜,정도전,,,,,,
이인임,정도전,,,,,,,
이인임,하륜,정도전,이성계,,,,,
이성계,정도전,,,,,,,
정몽주,이색,이숭인,권근,이첨,,,,
이성계,최영,정몽주,변안열,배극렴,우왕,이색,,
이성계,이지란,정몽주,정도전,이방원,이방우,이방과,,
이성계,정몽주,정도전,,,,,,
강씨,이방원,,,,,,,
이성계,정도전,,,,,,,
정도전,이방원,,,,,,,
정몽주,정도전,,,,,,,
최씨,이인임,남은,정도전,윤소종,,,,
이인임,정도전,,,,,,,
최영,조민수,정몽주,이색,배극렴,이성계,이숭인,,
우왕,권근,최영,이성계,정몽주,이색,배극렴,변안열,조민수
