명덕태후,최영,,,,,
이인임,임견미,지윤,,,,
지윤,임견미,이인임,장자온,,,
최영,장자온,임견미,지윤,,,
이인임,최영,,,,,
우왕,장씨,,,,,
염흥방,박상충,정몽주,,,,
최영,이인임,,,,,
정도전,보수주인,,,,,
정도전,나주관리,,,,,
정도전,나주마름,보수주인,참봉이,업둥이,,
업둥이,박수무당,,,,,
업둥이,참봉이,,,,,
참봉이,정도전,,,,,
정도전,업둥이,,,,,
업둥이,정도전,,,,,
업둥이,정도전,,,,,
최영,임견미,장자온,지윤,,,
명덕태후,대비안씨,최영,,,,
최영,박상충,염흥방,이첨,경복흥,,
이인임,임견미,,,,,
경복흥,명덕태후,임견미,우왕,최영,지윤,장자온
정몽주,염흥방,권근,이숭인,박상충,,
최영,이성계,,,,,
강씨,이성계,,,,,
정도전,업둥이,,,,,
보수주인,업둥이,참봉이,,,,
정도전,업둥이,,,,,
최씨,정몽주,,,,,
임견미,이인임,,,,,
임견미,우왕,,,,,
이성계,강씨,이지란,,,,
명덕태후,대비안씨,최영,,,,
우왕,이인임,임견미,최영,지윤,,
이인임,최영,,,,,
이색,정몽주,염흥방,권근,이숭인,,
정도전,나주마름,업둥이,보수주인,참봉이,,
정도전,나주현감,,,,,
정도전,업둥이,보수주인,참봉이,,,
지윤,이첨,박상충,,,,
이인임,장자온,지윤,,,,
