정도전,보수주인,업둥이,참봉이,,
정도전,보수주인,,,,
정도전,업둥이,,,,
정도전,정몽주,,,,
안사기,이인임,,,,
안사기,김의,,,,
박상충,염흥방,정몽주,,,
이인임,강씨,,,,
이인임,강씨,,,,
무학대사,이성계,,,,
박상충,정몽주,염흥방,이성계,
이성계,정몽주,,,,
이지란,이성계
경복흥,이인임,최영,명덕태후,대비안씨,안사기
안사기,이인임,최영,,,
보수주인,참봉이,정도전,업둥이,,
정도전,참봉이,,,,
정몽주,박상충,이색,염흥방,,
정몽주,안사기,,,,
이인임,하륜,,,,
이인임,안사기,,,,
최영,정몽주,,,,
최영,정몽주,안사기,,,
정몽주,최영,,,,
참봉이,보수주인,업둥이,박수무당,,
정도전,박수무당,,,,
박수무당,업둥이,보수주인,,,
정도전,보수주인,,,,
정도전,업둥이,,,,
임견미,최영,지윤,장자온,이인임,경복흥
정몽주,박상충,권근,이숭인,이첨,
명덕태후,최영,,,,
장자온,이인임,우왕,,,
최영,명덕태후,,,,
