정도전,남은,,,,
최영,이인임,임견미,염흥방,변안열,
이인임,염흥방,임견미,하륜,,
임견미,하륜,염흥방,,,
남은,정도전,,,,
이성계,정몽주,배극렴,이지란,이방원,
이방우,이방과,이성계,이지란,정몽주,이방원
이성계,이방원,,,,
이방원,정몽주,,,,
최영,강씨,,,,
우왕,대비안씨,근비,,,
최영,우왕,,,,
정도전,최씨,,,,
정도전,최씨,,,,
권근,이색,이숭인,,,
정도전,권근,이색,이숭인,,
정도전,이색,,,,
최영,정도전,,,,
최영,정도전,,,,
이방원,조영규,,,,
이지란,정몽주,이방원,,,
이성계,이방원,,,,
이성계,정몽주,,,,
배극렴,우왕,최영,이인임,,
이인임,임견미,염흥방,,,
이지란,정몽주,,,,
이방원,이성계,,,,
이성계,이방원,이지란,정몽주,,
이성계,정몽주,,,,
정도전,최씨,,,,
이성계,이지란,정몽주,이방원,,
정몽주,이성계,,,,
이성계,이방원,,,,
이성계,이지란,,,,
이지란,정도전,,,,
정도전,이성계,,,,
