하륜,이인임,,,,,
이성계,염흥방,임견미,이방과,,,
이성계,강씨,,,,,
이성계,정도전,이방원,,,,
이색,이숭인,권근,이첨,,,
이색,이방원,,,,,
우왕,근비,이색,이숭인,,,
배극렴,변안열,최영,이성계,권근,이첨,
남은,정도전,,,,,
정도전,윤소종,남은,,,,
최영,남은,이숭인,권근,윤소종,정도전,
윤소종,최영,,,,,
최영,변안열,배극렴,,,,
우왕,최영,,,,,
이인임,우왕,,,,,
이성계,최영,배극렴,변안열,우왕,,
이인임,하륜,최영,변안열,배극렴,,
최영,근비,대비안씨,왕창,,,
이성계,이방원,이지란,이방과,,,
이방원,이성계,,,,,
이성계,최영,,,,,
하륜,이인임,,,,,
이방원,정도전,,,,,
이방원,정도전,남은,최씨,,,
남은,정도전,,,,,
염흥방,임견미,하륜,권근,이숭인,정몽주,최영
염흥방,정몽주,,,,,
최영,임견미,,,,,
최영,정몽주,,,,,
이인임,하륜,,,,,
이인임,하륜,정도전,,,,
하륜,정도전,,,,,
이인임,남은,,,,,
이인임,정도전,남은,최영,,,
