정몽주,정도전,최영,이성계,배극렴,변안열,조민수,남은,이지란,,,
최영,이성계,,,,,,,,,,
최영,이성계,,,,,,,,,,
정몽주,정도전,,,,,,,,,,
이성계,정도전,,,,,,,,,,
이성계,정도전,이지란,,,,,,,,,
이성계,강씨,이방원,조영규,,,,,,,,
이성계,강씨,,,,,,,,,,
이방원,조영규,,,,,,,,,,
최영,이성계,배극렴,변안열,조민수,남은,이지란,,,,,
우왕,이성계,조민수,이지란,변안열,배극렴,,,,,,
배극렴,이지란,이성계,조민수,변안열,남은,,,,,,
정도전,남은,,,,,,,,,,
윤소종,정도전,조준,,,,,,,,,
조준,정도전,,,,,,,,,,
이성계,조민수,이색,정몽주,,,,,,,,
이성계,정몽주,,,,,,,,,,
우왕,대비안씨,근비,,,,,,,,,
우왕,정몽주,정도전,,,,,,,,,
윤소종,이성계,정몽주,정도전,,,,,,,,
이성계,정도전,정몽주,,,,,,,,,
정도전,정몽주,,,,,,,,,,
우왕,근비,,,,,,,,
우왕,근비,이성계,,,,,,,,,
우왕,근비,,,,,,,,,,
이성계,조민수,남은,배극렴,변안열,,,,,,,
우왕,근비,,,,,,,
우왕,이지란,,,,,,
우왕,이지란,이성계,조민수,남은,이방원,이방우,조영규,배극렴,변안열,이방과
이성계,우왕,,,,,,,,,,
정도전,이성계,,,,,,,,,,
이색,정몽주,권근,이첨,,,,,,,,
정도전,남은,윤소종,이방원,,,,,,,,
변안열,정도전,,,,,,,,,,
조민수,이인임,,,,,,,,,,
이성계,정도전,,,,,,,,,,
