우왕,최영,이성계,,,,
이인임,염흥방,임견미,,,,
우왕,최영,이성계,,,,
이인임,임견미,염흥방,,,,
최영,이성계,이방과,이방원,,,
정도전,이성계,,,,,
이성계,이방원,,,,,
이방우,강씨,이지란,,,,
이방우,강씨,이지란,이성계,이방원,,
이인임,염흥방,임견미,,,,
이성계,강씨,,,,,
이성계,정도전,,,,,
최영,배극렴,변안열,,,,
이인임,염흥방,임견미,,,,
염흥방,배극렴,변안열,,,,
임견미,이방과,최영,,,,
정도전,최씨,,,,,
임견미,이방과,최영,,,,
임견미,최영,,,,,
염흥방,배극렴,조반,,,,
이성계,이지란,이방우,이방원,조영규,,
이인임,하륜,,,,,
이성계,이지란,이방우,이방원,조영규,,
이방원,이지란,이성계,이인임,하륜,,
이인임,이성계,,,,,
염흥방,임견미,배극렴,변안열,이숭인,권근,이첨
이인임,하륜,,,,,
최영,대비안씨,근비,,,,
이색,이성계,,,,,
이성계,최영,,,,,
정도전,이방원,,,,,
정도전,최영,,,,,
이인임,하륜,최영,정도전,,,
하륜,정도전,,,,,
정도전,우왕,,,,,
우왕,왕창,하륜,이인임,,,
우왕,이인임,,,,,
우왕,정도전,,,,,
남은,정도전,,,,,
이성계,최영,배극렴,변안열,,,
우왕,최영,이성계,,,,
정도전,이방원,,,,,
