이성계,정도전,,,,,
이성계,정도전,,,,,
정도전,이방원,조영규,,,,
이지란,이성계,이방원,,,,
정몽주,임견미,배극렴,염흥방,변안열,이인임,최영
최영,정몽주,,,,,
정도전,최씨,,,,,
정도전,정몽주,최씨,,,,
정도전,정몽주,,,,,
이인임,하륜,,,,,
이인임,염흥방,,,,,
이성계,이방우,이방과,이방원,,,
이방원,이성계,,,,,
이성계,이지란,,,,,
우왕,최영,이인임,이숭인,권근,,
이색,이숭인,권근,정몽주,,,
이성계,이지란,,,,,
이성계,염흥방,이지란,,,,
이성계,염흥방,이지란,,,,
이지란,염흥방,,,,,
이성계,이지란,,,,,
이인임,근비,염흥방,,,,
우왕,대비안씨,,,,,
우왕,이인임,,,,,
정도전,최씨,,,,,
정도전,조영규,이방원,,,,
정도전,이방원,,,,,
이방원,조영규,,,,,
이성계,이지란,,,,,
이성계,정몽주,이지란,,,,
임견미,이인임,염흥방,,,,
강씨,이방과,이방우,,,,
강씨,이방과,이방우,,,,
이방원,조영규,,,,,
최영,이인임,,,,,
이성계,이지란,정몽주,,,,
최씨,이방원,,,,,
정몽주,이지란,이성계,,,,
이지란,정도전,,,,,
정도전,정몽주,,,,,
정도전,이성계,,,,,
