조민수,이인임,,,,,,,,,,,,,
이성계,정도전,,,,,,,,,,,,,
이지란,남은,조민수,배극렴,변안열,,,,,,,,,,
대비안씨,배극렴,이지란,남은,,,,,,,,,,,
강씨,이지란,이성계,,,,,,,,,,,,
정도전,이방원,이지란,윤소종,,,,,,,,,,,
조준,윤소종,정도전,,,,,,,,,,,,
최씨,정도전,,,,,,,,,,,,,
정도전,정몽주,,,,,,,,,,,,,
근비,이색,,,,,,,,,,,,,
이색,조민수,,,,,,,,,,,,,
배극렴,남은,,,,,,,,,,,,,
배극렴,대비안씨,,,,,,,,,,,,,
남은,근비,왕창,,,,,,,,,,,,
이성계,정도전,정몽주,이지란,,,,,,,,,,,
이성계,정몽주,,,,,,,,,,,,,
대비안씨,이성계,조민수,변안열,이색,정몽주,이지란,권근,배극렴,남은,,,,,
대비안씨,이성계,조민수,변안열,이색,정몽주,이지란,권근,배극렴,남은,근비,왕창,,,
대비안씨,조민수,변안열,이색,정몽주,이지란,권근,배극렴,남은,근비,왕창,,,,
조준,정도전,,,,,,,,,,,,,
조준,정도전,이방원,,,,,,,,,,,,
조민수,이색,남은,변안열,배극렴,이지란,,,,,,,,,
정도전,이방원,이색,이첨,권근,,,,,,,,,,
이색,정도전,,,,,,,,,,,,,
근비,조민수,,,,,,,,,,,,,
정몽주,정도전,이방원,강씨,,,,,,,,,,,
이성계,강씨,,,,,,,,,,,,,
왕창,대비안씨,권근,조민수,이성계,이색,정몽주,정도전,변안열,배극렴,이방과,이방우,남은,이지란,윤소종
윤소종,이방원,정도전,남은,,,,,,,,,,,
이성계,이지란,,,,,,,,,,,,,
이성계,이지란,,,,,,,,,,,,,
이성계,이지란,강씨,,,,,,,,,,,,
조민수,이성계,,,,,,,,,,,,,
정도전,정몽주,,,,,,,,,,,,,
이인임,하륜,,,,,,,,,,,,,
왕창,이성계,근비,,,,,,,,,,,,
하륜,이인임,,,,,,,,,,,,,
이인임,정도전,,,,,,,,,,,,,
