창왕,이색,이성계,정도전,조준,하륜,변안열,이지란,배극렴,,,
이성계,배극렴,정도전,이지란,이숭인,하륜,권근,이첨,조준,,,
이성계,배극렴,정도전,이지란,조준,,,,,,,
이색,정몽주,,,,,,,,,,
정도전,정몽주,,,,,,,,,,
이숭인,권근,이방원,남은,윤소종,이첨,변안열,이성계,하륜,,,
대비안씨,이성계,근비,,,,,,,,,
정도전,이방원,,,,,,,,,,
이성계,강씨,이방원,,,,,,,,,
이성계,강씨,이방원,정도전,,,,,,,,
이색,정도전,,,,,,,,,,
조영규,이지란,이방우,이방과,,,,,,,,
이방원,이성계,강씨,,,,,,,,,
변안열,이성계,정몽주,이색,이방원,이숭인,,,,,,
변안열,정몽주,이성계,,,,,,,,,
이성계,정몽주,조준,하륜,변안열,,,,,,,
이성계,이지란,,,,,,,,,,
이성계,최영,,,,,,,,,,
최영,배극렴,이지란,하륜,정도전,정몽주,윤소종,변안열,김저,정득후,,
정도전,이성계,,,,,,,,,,
정도전,이성계,이지란,,,,,,,,,
창왕,이색,이숭인,이방원,,,,,,,,
조준,윤소종,남은,이숭인,이첨,권근,하륜,,,,,
정도전,이방원,조준,윤소종,남은,,,,,,,
정몽주,이성계,,,,,,,,,,
정몽주,이성계,정도전,,,,,,,,,
이성계,정도전,,,,,,,,,,
이색,정몽주,이성계,변안열,정도전,조준,이지란,배극렴,이숭인,하륜,권근,권근
이방원,정도전,조준,,,,,,,,,
우왕,김저,정득후,,,,,,,,,
이성계,강씨,,,,,,,,,,
