우왕,김저,정득후,,,,,
이성계,정도전,,,,,,
이색,권근,하륜,,,,,
권근,하륜,,,,,,
조준,이색,윤소종,정도전,이지란,배극렴,정몽주,변안열
정몽주,정도전,,,,,,
정몽주,정도전,이첨,,,,,
정몽주,이색,,,,,,
이성계,강씨,이방우,이방과,이방원,,,
이방원,정몽주,,,,,,
이성계,정몽주,,,,,,
정도전,조준,,,,,,
정도전,하륜,권근,이숭인,,,,
김저,정득후,,,,,,
김저,정득후,곽충보,,,,,
대비안씨,근비,변안열,,,,,
변안열,남은,,,,,,
이성계,정도전,남은,,,,,
이성계,정도전,,,,,,
이성계,정도전,곽충보,,,,,
곽충보,김저,정득후,,,,,
변안열,우왕,,,,,,
곽충보,김저,정득후,,,,,
정도전,이방원,김저,남은,정득후,조영규,이방과,곽충보
변안열,우왕,,,,,,
우왕,이성계,배극렴,변안열,이지란,,
우왕,이성계,,,,,,
정득후,변안열,,,,,,
권근,하륜,이숭인,,,,,
창왕,근비,,,,,,
창왕,근비,이방우,,,,,
강씨,이방우,,,,,,
배극렴,이성계,이지란,정도전,강씨,,,
정도전,남은,이방원,조준,윤소종,,,
정몽주,이첨,근비,,,,,
이성계,정몽주,,,,,,
정도전,정몽주,,,,,,
이성계,정도전,,,,,,
최씨,정도전,,,,,,
정도전,정몽주,,,,,,
