최영,우왕,이성계,정몽주,조민수,변안열,배극렴,이색,권근,,,
우왕,최영,이성계,정몽주,,,,,,,,
남은,이방원,정도전,,,,,,,,,
최영,이성계,,,,,,,,,,
최영,이색,정몽주,변안열,배극렴,이성계,조민수,,,,,
이성계,정몽주,정도전,,,,,,,,,
최영,우왕,,,,,,,,,,
우왕,근비,대비안씨,,,,,,,,,
최영,우왕,,,,,,,,,,
최씨,정도전,,,,,,,,,,
이성계,배극렴,이지란,,,,,,,,,
이성계,남은,정도전,,,,,,,,,
최영,이성계,,,,,,,,,,
최영,이성계,우왕,,,,,,,,,
조민수,변안열,배극렴,이성계,,,,,,,,
이숭인,최영,권근,이첨,,,,,,,,
이방원,정몽주,정도전,이지란,이성계,,,,,,,
우왕,최영,,,,,,,,,,
이성계,강씨,,,,,,,,,,
이성계,최영,,,,,,,,,,
이색,정몽주,권근,이첨,,,,,,,,
이색,최영,정몽주,,,,,,,,,
우왕,조민수,배극렴,변안열,최영,,,,,,,
정도전,이방원,,,,,,,,,,
정도전,이방원,조영규,,,,,,,,,
우왕,왕득명,최영,이성계,정도전,조민수,변안열,배극렴,이색,이첨,이지란,권근
이지란,이성계,정도전,,,,,,,,,
이색,왕득명,정몽주,조민수,,,,,,,,
이색,이성계,최영,조민수,,,,,,,,
최영,이색,정몽주,조민수,변안열,배극렴,,,,,,
이성계,이지란,,,,,,,,,,
정도전,정몽주,강씨,,,,,,,,,
우왕,최영,,,,,,,,,,
우왕,최영,이성계,,,,,,,,,
