name,value
종로구,165344
중구,136227
용산구,249914
성동구,303891
광진구,377375
동대문구,376319
중랑구,423411
성북구,475961
강북구,338410
도봉구,355712
노원구,586056
은평구,503243
서대문구,320861
마포구,395830
양천구,490708
강서구,591653
구로구,457131
금천구,258030
영등포구,421436
동작구,419261
관악구,531960
서초구,454288
강남구,583446
송파구,671794
강동구,481332
