type,accident_2014,accident_2013,accident_2012,accident_2011,accident_2010,accident_2009,accident_2008,accident_2007,accident_2006,accident_2005
차 대 사람,11118,10683,10892,10869,10783,10987,10468,9371,8852,9111
차 대 차,28201,27358,28537,28294,29579,31978,30128,29183,28611,28728
차량 단독,1473,1398,1399,1288,1300,1354,1106,855,835,771
