year,location,type,total,0-14,15-20,21-30,31-40,41-50,51-60,61-64,65-70,71-
2007,jongnogu,died,12,0,1,1,3,3,0,0,1,3
2007,jongnogu,injured,2327,55,120,590,539,520,326,65,69,43
2007,junggu,died,12,0,0,2,3,1,0,0,3,3
2007,junggu,injured,1944,30,94,489,491,415,286,60,53,26
2007,yongsangu,died,20,1,3,3,2,6,2,1,1,1
2007,yongsangu,injured,2037,66,110,555,459,426,286,43,57,35
2007,sungdonggu,died,16,1,0,2,3,1,2,1,1,5
2007,sungdonggu,injured,1675,70,100,432,384,337,240,41,43,28
2007,gwangjingu,died,17,1,1,2,1,5,2,1,1,3
2007,gwangjingu,injured,2396,139,191,589,487,510,321,59,64,36
2007,dongdaemungu,died,27,0,3,5,1,3,5,4,1,5
2007,dongdaemungu,injured,2436,109,175,564,457,505,380,101,87,58
2007,junglanggu,died,20,1,1,2,2,1,1,2,2,8
2007,junglanggu,injured,3022,169,293,615,555,654,472,95,108,61
2007,sungbukgu,died,9,1,2,1,0,1,1,1,0,2
2007,sungbukgu,injured,1943,107,148,415,411,371,295,74,68,54
2007,gangbukgu,died,11,0,1,2,1,2,2,0,0,3
2007,gangbukgu,injured,1792,116,121,365,378,383,270,50,63,46
2007,dobonggu,died,11,0,4,1,0,2,2,0,2,0
2007,dobonggu,injured,1191,88,118,195,204,280,192,41,33,40
2007,nowongu,died,26,0,2,2,1,4,8,1,2,6
2007,nowongu,injured,2380,196,237,460,464,485,357,64,65,52
2007,enpyunggu,died,16,1,1,4,1,2,4,0,0,3
2007,enpyunggu,injured,1847,144,189,318,353,381,281,74,53,54
2007,sudaemungu,died,13,0,0,1,0,1,2,1,4,4
2007,sudaemungu,injured,1513,74,90,364,315,315,210,56,50,39
2007,mapogu,died,24,0,4,3,3,7,3,0,1,3
2007,mapogu,injured,2241,100,146,588,505,449,281,82,53,37
2007,yangchungu,died,16,0,0,4,0,6,4,0,1,1
2007,yangchungu,injured,1737,141,184,331,317,374,254,54,46,36
2007,gangsugu,died,19,0,2,1,4,3,2,1,1,5
2007,gangsugu,injured,2484,140,259,545,461,548,356,59,59,57
2007,gulogu,died,13,0,1,0,3,4,1,0,2,2
2007,gulogu,injured,2322,125,212,524,498,501,310,58,55,39
2007,gemchungu,died,14,1,1,4,3,2,1,1,0,1
2007,gemchungu,injured,1304,62,95,266,306,306,184,36,30,19
2007,yeongdeungpogu,died,34,0,1,6,5,6,5,2,6,3
2007,yeongdeungpogu,injured,3262,136,220,714,762,720,475,98,81,56
2007,dongjakgu,died,16,0,2,3,1,4,2,1,0,3
2007,dongjakgu,injured,1645,80,132,406,348,328,228,49,33,41
2007,gwanakgu,died,18,1,3,1,2,2,2,1,1,5
2007,gwanakgu,injured,2597,110,257,662,514,514,365,58,79,38
2007,suchogu,died,21,1,1,6,3,4,0,1,1,4
2007,suchogu,injured,2871,86,131,713,716,637,403,84,67,34
2007,gangnamgu,died,30,2,1,7,5,9,3,0,1,2
2007,gangnamgu,injured,4836,126,235,"1,441","1,169","1,030",628,96,71,40
2007,songpagu,died,17,1,3,4,3,1,0,1,2,2
2007,songpagu,injured,3609,229,213,765,793,798,551,88,104,68
2007,gangdonggu,died,19,1,2,3,0,4,2,1,2,4
2007,gangdonggu,injured,2106,127,156,438,401,486,316,70,61,51
2008,jongnogu,died,23,1,0,6,2,5,3,0,2,4
2008,jongnogu,injured,2155,62,119,511,489,463,348,65,49,49
2008,junggu,died,12,0,2,1,2,4,1,0,0,2
2008,junggu,injured,1962,47,73,513,459,430,277,64,60,39
2008,yongsangu,died,19,0,0,6,2,5,1,1,3,1
2008,yongsangu,injured,1805,41,86,457,445,387,266,39,51,33
2008,sungdonggu,died,17,0,0,5,2,1,2,2,2,3
2008,sungdonggu,injured,1616,70,121,385,336,355,218,47,48,36
2008,gwangjingu,died,16,1,3,2,1,2,2,0,2,3
2008,gwangjingu,injured,2470,141,233,607,488,506,324,58,71,42
2008,dongdaemungu,died,41,1,3,6,3,8,6,2,3,9
2008,dongdaemungu,injured,2377,98,178,486,447,527,391,92,91,67
2008,junglanggu,died,16,0,1,1,4,4,0,1,1,4
2008,junglanggu,injured,2783,173,319,501,506,609,435,87,90,63
2008,sungbukgu,died,19,0,0,2,2,3,5,3,0,4
2008,sungbukgu,injured,2506,137,220,533,505,498,347,81,114,71
2008,gangbukgu,died,12,0,0,3,3,0,3,1,1,1
2008,gangbukgu,injured,1887,104,173,385,359,415,282,49,66,54
2008,dobonggu,died,17,0,0,3,2,1,3,1,2,5
2008,dobonggu,injured,1467,115,174,268,236,307,207,61,56,43
2008,nowongu,died,22,0,1,5,2,5,4,0,3,2
2008,nowongu,injured,2476,202,287,446,459,511,350,75,69,77
2008,enpyunggu,died,16,2,1,2,0,4,2,1,2,2
2008,enpyunggu,injured,2160,152,236,375,386,461,310,78,86,76
2008,sudaemungu,died,14,0,0,2,1,2,0,1,3,5
2008,sudaemungu,injured,1530,68,136,338,315,297,222,53,63,38
2008,mapogu,died,12,1,0,1,3,1,0,2,3,1
2008,mapogu,injured,2544,132,170,606,628,477,332,75,76,48
2008,yangchungu,died,21,2,5,3,0,2,0,2,1,6
2008,yangchungu,injured,2122,148,268,386,420,433,300,60,65,42
2008,gangsugu,died,21,2,2,1,3,2,4,1,2,4
2008,gangsugu,injured,2811,163,348,563,524,570,429,86,74,54
