year,location,type,total,0-14,15-20,21-30,31-40,41-50,51-60,61-64,65-70,71-
2013,nowongu,died,13,1,1,4,3,0,1,0,2,1
2013,nowongu,injured,2175,122,233,337,392,410,405,90,98,88
2013,enpyunggu,died,10,0,2,0,2,0,2,0,2,2
2013,enpyunggu,injured,1716,94,173,270,291,304,312,92,70,110
2013,sudaemungu,died,14,0,0,3,1,3,1,0,1,5
2013,sudaemungu,injured,1578,80,92,265,298,296,293,71,91,92
2013,mapogu,died,23,0,1,3,3,3,3,1,2,7
2013,mapogu,injured,2732,75,201,639,613,454,456,97,102,95
2013,yangchungu,died,14,0,1,3,0,2,3,1,1,3
2013,yangchungu,injured,1905,103,172,289,357,382,377,78,66,81
2013,gangsugu,died,26,0,2,2,1,7,7,1,3,3
2013,gangsugu,injured,2517,114,180,412,497,464,518,114,108,110
2013,gulogu,died,19,0,2,1,0,2,4,1,2,7
2013,gulogu,injured,2165,99,168,380,451,391,431,104,57,84
2013,gemchungu,died,10,0,1,1,2,2,2,0,0,2
2013,gemchungu,injured,1419,50,96,280,272,290,277,62,53,39
2013,yeongdeungpogu,died,29,1,2,1,6,2,4,4,2,7
2013,yeongdeungpogu,injured,3128,108,173,598,667,555,599,141,138,149
2013,dongjakgu,died,11,1,0,1,3,2,1,1,1,1
2013,dongjakgu,injured,1848,82,118,338,404,348,329,72,80,77
2013,gwanakgu,died,20,0,0,3,3,3,3,0,2,6
2013,gwanakgu,injured,2482,149,176,531,463,418,437,109,99,100
2013,suchogu,died,19,0,1,5,1,2,3,2,1,4
2013,suchogu,injured,3304,113,138,691,798,661,568,132,113,90
2013,gangnamgu,died,31,0,1,4,8,6,2,1,5,4
2013,gangnamgu,injured,5326,138,216,"1,365","1,327",998,865,166,156,95
2013,songpagu,died,21,0,0,4,1,3,7,0,2,4
2013,songpagu,injured,3556,169,323,669,705,642,638,154,129,127
2013,gangdonggu,died,12,0,0,3,1,1,3,3,1,0
2013,gangdonggu,injured,1942,113,148,309,338,395,392,74,86,87
2014,jongnogu,died,11,0,0,2,1,1,2,2,0,3
2014,jongnogu,injured,1790,50,72,390,350,373,327,86,81,61
2014,junggu,died,7,0,0,0,2,1,1,2,0,1
2014,junggu,injured,1785,35,69,324,424,343,326,98,106,60
2014,yongsangu,died,8,0,0,1,1,0,4,1,0,1
2014,yongsangu,injured,1971,46,81,436,461,343,362,78,89,75
2014,sungdonggu,died,11,0,0,1,4,1,1,0,0,4
2014,sungdonggu,injured,1712,56,120,295,346,310,358,70,81,76
2014,gwangjingu,died,12,0,1,0,3,1,3,1,1,2
2014,gwangjingu,injured,2081,119,183,418,406,343,356,84,92,80
2014,dongdaemungu,died,27,0,1,3,2,5,5,0,4,7
2014,dongdaemungu,injured,2407,89,180,422,403,423,509,100,142,139
2014,junglanggu,died,11,0,1,1,1,3,2,0,1,2
2014,junglanggu,injured,2180,103,236,344,333,375,458,116,103,112
2014,sungbukgu,died,17,0,1,3,3,3,3,0,1,3
2014,sungbukgu,injured,2227,134,189,398,419,374,364,105,125,119
2014,gangbukgu,died,12,0,0,0,3,1,0,0,2,6
2014,gangbukgu,injured,1773,75,175,279,281,321,352,88,98,104
2014,dobonggu,died,14,0,1,1,1,0,4,2,1,4
2014,dobonggu,injured,1205,71,112,174,180,192,250,58,74,94
2014,nowongu,died,17,1,1,1,0,1,4,1,2,6
2014,nowongu,injured,2038,119,223,302,363,395,340,85,84,127
2014,enpyunggu,died,11,0,2,0,1,0,4,2,0,2
2014,enpyunggu,injured,1889,124,213,272,315,304,360,100,91,110
2014,sudaemungu,died,16,1,1,1,1,4,1,2,0,5
2014,sudaemungu,injured,1590,86,122,323,286,269,269,71,80,84
2014,mapogu,died,20,0,3,2,2,3,3,2,2,3
2014,mapogu,injured,2633,71,170,590,599,461,457,100,92,93
2014,yangchungu,died,13,0,0,0,2,2,3,0,2,4
2014,yangchungu,injured,2000,132,190,303,344,402,364,94,84,87
2014,gangsugu,died,32,0,3,7,1,3,5,2,4,7
2014,gangsugu,injured,2614,123,207,414,521,482,495,126,124,122
2014,gulogu,died,19,0,2,1,1,5,2,2,0,6
2014,gulogu,injured,2205,110,168,346,409,408,436,109,120,99
2014,gemchungu,died,13,0,0,2,1,2,2,0,2,4
2014,gemchungu,injured,1535,75,126,232,265,308,296,83,80,70
2014,yeongdeungpogu,died,26,1,4,0,0,2,7,4,3,5
2014,yeongdeungpogu,injured,3128,118,177,563,653,637,559,153,136,132
2014,dongjakgu,died,13,1,1,1,1,1,4,0,0,4
2014,dongjakgu,injured,1901,91,166,348,409,312,339,84,68,84
2014,gwanakgu,died,22,0,1,4,1,4,3,1,0,8
2014,gwanakgu,injured,2317,75,159,531,452,352,395,119,109,125
2014,suchogu,died,13,0,0,1,0,2,4,3,2,1
2014,suchogu,injured,3446,114,147,688,821,701,611,151,131,82
2014,gangnamgu,died,17,0,0,1,3,4,3,0,1,5
2014,gangnamgu,injured,5269,179,252,"1,241","1,337",960,822,191,171,116
2014,songpagu,died,24,0,4,0,2,2,7,2,1,6
2014,songpagu,injured,3635,202,324,612,687,702,664,146,177,121
2014,gangdonggu,died,14,0,0,1,1,1,3,0,2,6
2014,gangdonggu,injured,2014,118,169,306,308,379,428,104,111,91
