code,name,value,population,ratio
1107062,중화2동,853,29665,2.87544244058655
1107064,묵1동,351,35241,0.995998978462586
1107065,묵2동,355,19563,1.81465010478965
1107068,망우3동,584,18789,3.10820160732343
1107069,신내1동,412,42203,0.976233917020117
1107070,신내2동,938,24192,3.87731481481481
1107071,면목본동,759,36584,2.07467745462497
1107072,면목3·8동,638,28695,2.22338386478481
1107073,망우본동,708,33902,2.08837236741195
1108058,돈암1동,303,16324,1.85616270521931
1108059,돈암2동,221,23614,0.935885491657491
1108060,안암동,299,18114,1.65065695042509
1108061,보문동,288,15124,1.90425813276911
1108062,정릉1동,310,19975,1.55193992490613
1108063,정릉2동,496,23962,2.0699440781237
1108064,정릉3동,573,17980,3.18687430478309
1108065,정릉4동,555,27815,1.99532626280784
1108066,길음1동,390,37987,1.02666701766394
1108068,길음2동,383,17404,2.20064353022294
1108071,월곡1동,595,28822,2.0643952536257
1108072,월곡2동,480,21425,2.24037339556593
1108076,장위1동,856,24380,3.51107465135357
1108077,장위2동,739,21452,3.44490024240164
1108078,장위3동,625,17534,3.56450325082696
1108081,성북동,290,18811,1.54165116155441
1108082,삼선동,595,28368,2.09743372814439
1108083,동선동,281,16727,1.67991869432654
1108084,종암동,836,43444,1.9243163612927
1108085,석관동,789,36699,2.14992234120821
1109060,번1동,522,20643,2.52870222351402
1109061,번2동,1016,18927,5.36799281449781
1109062,번3동,1998,20636,9.68210893584028
1109063,수유1동,688,23090,2.97964486790819
1109064,수유2동,594,22969,2.58609430101441
1109065,수유3동,671,23971,2.79921571899378
1109069,삼양동,1128,30306,3.72203524054643
1109070,미아동,447,24014,1.86141417506455
1109071,송중동,623,32378,1.92414602507876
1109072,송천동,830,30928,2.68365235385411
1109073,삼각산동,1001,35020,2.85836664762993
1109074,우이동,566,21717,2.60625316572271
1109075,인수동,1079,33811,3.19126911360208
1110051,쌍문1동,470,22623,2.07753171551076
1110052,쌍문2동,455,21222,2.14400150786919
1110053,쌍문3동,266,18180,1.46314631463146
1110054,쌍문4동,90,21269,0.42315106493018
1110055,방학1동,698,31600,2.20886075949367
1110056,방학2동,1011,22948,4.405612689559
1110057,방학3동,109,31235,0.348967504402113
1110059,창1동,220,28196,0.780252518087672
1110060,창2동,546,31211,1.74938323027138
1110061,창3동,474,15865,2.98770879294043
1110062,창4동,145,30170,0.480609877361618
1110063,창5동,173,27348,0.632587392131052
1110064,도봉1동,662,23731,2.78960010113354
1110065,도봉2동,509,30114,1.69024374045295
1111051,월계1동,385,22768,1.69096978215039
1111052,월계2동,2783,29551,9.41761700111671
1111053,월계3동,1507,34984,4.30768351246284
1111056,공릉2동,484,46120,1.04943625325239
1111058,하계1동,2367,30003,7.88921107889211
1111059,하계2동,931,25304,3.67926019601644
1111060,중계본동,309,29161,1.05963444326326
1111061,중계1동,507,30124,1.68304342052848
1111064,중계4동,1223,22842,5.35417213904212
1111065,상계1동,795,43376,1.83281077093323
1111066,상계2동,426,22483,1.89476493350532
1111069,상계5동,799,23769,3.36152130926837
1111072,상계8동,103,26207,0.39302476437593
1111073,상계9동,159,24156,0.658221559860904
1111074,상계10동,176,20059,0.87741163567476
1111076,상계3·4동,1706,37314,4.57201050544032
1111077,상계6·7동,472,36370,1.29777288974429
1111078,중계2·3동,3805,41126,9.25205466128483
1111079,공릉1동,1734,40339,4.29856962244974
1112051,녹번동,578,31163,1.85476366203511
1112052,불광1동,701,43291,1.61927421403987
1112055,갈현1동,969,26023,3.72362909733697
1112056,갈현2동,698,29942,2.33117360229778
1112057,구산동,614,33646,1.82488260120074
1112058,대조동,705,32892,2.14337832907698
1112059,응암1동,555,32588,1.70308088867068
1112060,응암2동,663,25370,2.61332282223098
1112065,신사1동,451,28319,1.59257035912285
1112066,신사2동,474,22288,2.12670495333812
1112067,증산동,277,20496,1.35148321623731
1112068,수색동,557,18780,2.96592119275825
1112071,진관동,437,51981,0.840691791231411
1112072,불광2동,1035,29421,3.51789538085041
1112073,응암3동,767,27623,2.77667161423451
1112074,역촌동,908,49420,1.83731282881425
1113052,천연동,466,20278,2.29805700759444
1113062,홍제1동,340,26592,1.27858002406739
1113064,홍제3동,381,19875,1.91698113207547
1113065,홍제2동,276,15540,1.77606177606178
1113066,홍은1동,470,25651,1.83228724026354
1113068,홍은2동,643,30540,2.10543549443353
1113069,남가좌1동,50,3718,1.34480903711673
1113070,남가좌2동,714,29817,2.39460710333031
1113071,북가좌1동,177,19990,0.88544272136068
1113072,북가좌2동,548,34264,1.59934625262666
1113073,충현동,306,19650,1.55725190839695
1113074,북아현동,153,10544,1.451062215478
1113075,신촌동,465,22027,2.1110455350252
1113076,연희동,482,42375,1.13746312684366
1114059,용강동,168,20293,0.827871679889617
1114060,대흥동,271,17275,1.56874095513748
1114061,염리동,358,15724,2.2767743576698
1114063,신수동,171,21619,0.790970905222258
1114066,서교동,181,29383,0.616002450396488
1114068,합정동,278,19732,1.40887897830935
1114069,망원1동,446,23402,1.9058200153833
1114070,망원2동,307,21071,1.45697878600921
1114071,연남동,203,19753,1.02769199615248
1114072,성산1동,327,21283,1.53643753230278
1114073,성산2동,1490,40456,3.68301364445323
1114074,상암동,458,33522,1.36626692918084
1114075,도화동,351,23557,1.4900029715159
1114076,서강동,207,26300,0.787072243346008
1114077,공덕동,550,36760,1.4961915125136
1114078,아현동,323,25700,1.2568093385214
1115051,목1동,118,32783,0.359942653204405
1115052,목2동,282,31155,0.905151661049591
1115053,목3동,386,22878,1.6872104204913
1115054,목4동,314,28311,1.10910953339691
1115057,신월1동,692,24387,2.83757739779391
1115058,신월2동,286,23002,1.24337014172681
1115059,신월3동,618,17528,3.5257873117298
1115060,신월4동,186,19641,0.946998625324576
1115061,신월5동,266,16426,1.61938390356751
1115062,신월6동,178,12251,1.45294261692923
1115063,신월7동,332,24062,1.37976893026349
1115064,신정1동,117,19319,0.60562140897562
1115065,신정2동,327,22077,1.48117950808534
1115066,신정3동,904,56535,1.59900946316441
1115069,신정6동,13,26551,0.0489623742985198
1115070,신정7동,887,32499,2.7293147481461
1115071,목5동,12,44760,0.0268096514745308
1115072,신정4동,563,36543,1.54065074022385
1116051,염창동,101,42281,0.238877983018377
1116052,등촌1동,126,23068,0.546211201664644
1116053,등촌2동,135,21755,0.620547000689497
1116054,등촌3동,5337,36071,14.7958193562696
1116055,화곡본동,843,36587,2.3040970836636
1116057,화곡2동,341,20228,1.68578208423967
1116058,화곡3동,227,23765,0.955186198190616
1116059,화곡4동,449,23188,1.93634638606176
1116061,화곡6동,392,25781,1.52049959272332
1116063,화곡8동,303,27567,1.09914027641746
1116064,가양1동,64,23585,0.271358914564342
1116065,가양2동,2611,17098,15.270791905486
1116066,가양3동,1869,18051,10.353997008476
1116067,발산1동,565,39714,1.42267210555472
1116069,공항동,320,21490,1.48906468124709
1116070,방화1동,379,42282,0.896362518329313
1116071,방화2동,940,25327,3.71145417933431
1116072,방화3동,1677,26348,6.3648094732048
1116073,화곡1동,705,52571,1.34104354111582
1116074,우장산동,210,44896,0.467747683535282
1117051,신도림동,63,37807,0.16663580818367
1117052,구로1동,51,22889,0.222814452357027
1117054,구로3동,180,28810,0.624783061437001
1117055,구로4동,573,30153,1.90030842702219
1117056,구로5동,232,35333,0.656609968018566
1117061,고척1동,242,25650,0.943469785575049
