Period,District,Accident Type,Total
2012,Songpa,Injured,"4,060"
2012,Gangdong,Killed,18
2012,Gangdong,Injured,"2,029"
2013,Jongno,Killed,13
2013,Jongno,Injured,"1,770"
2013,Jung,Killed,10
2013,Jung,Injured,"1,975"
2013,Yongsan,Killed,13
2013,Yongsan,Injured,"2,023"
2013,Seongdong,Killed,8
2013,Seongdong,Injured,"1,458"
2013,Gwangjin,Killed,10
2013,Gwangjin,Injured,"1,916"
2013,Dongdaemun,Killed,16
2013,Dongdaemun,Injured,"2,524"
2013,Jungnang,Killed,9
2013,Jungnang,Injured,"2,369"
2013,Seongbuk,Killed,9
2013,Seongbuk,Injured,"2,149"
2013,Gangbuk,Killed,10
2013,Gangbuk,Injured,"1,525"
2013,Dobong,Killed,8
2013,Dobong,Injured,"1,259"
2013,Nowon,Killed,13
2013,Nowon,Injured,"2,175"
2013,Eunpyeong,Killed,10
2013,Eunpyeong,Injured,"1,716"
2013,Seodaemun,Killed,14
2013,Seodaemun,Injured,"1,578"
2013,Mapo,Killed,23
2013,Mapo,Injured,"2,732"
2013,Yangcheon,Killed,14
2013,Yangcheon,Injured,"1,905"
2013,Gangseo,Killed,26
2013,Gangseo,Injured,"2,517"
2013,Guro,Killed,19
2013,Guro,Injured,"2,165"
2013,Geumcheon,Killed,10
2013,Geumcheon,Injured,"1,419"
2013,Yeongdeungpo,Killed,29
2013,Yeongdeungpo,Injured,"3,128"
2013,Dongjak,Killed,11
2013,Dongjak,Injured,"1,848"
2013,Gwanak,Killed,20
2013,Gwanak,Injured,"2,482"
2013,Seocho,Killed,19
2013,Seocho,Injured,"3,304"
2013,Gangnam,Killed,31
2013,Gangnam,Injured,"5,326"
2013,Songpa,Killed,21
2013,Songpa,Injured,"3,556"
2013,Gangdong,Killed,12
2013,Gangdong,Injured,"1,942"
2014,Jongno,Killed,11
2014,Jongno,Injured,"1,790"
2014,Jung,Killed,7
2014,Jung,Injured,"1,785"
2014,Yongsan,Killed,8
2014,Yongsan,Injured,"1,971"
2014,Seongdong,Killed,11
2014,Seongdong,Injured,"1,712"
2014,Gwangjin,Killed,12
2014,Gwangjin,Injured,"2,081"
2014,Dongdaemun,Killed,27
2014,Dongdaemun,Injured,"2,407"
2014,Jungnang,Killed,11
2014,Jungnang,Injured,"2,180"
2014,Seongbuk,Killed,17
2014,Seongbuk,Injured,"2,227"
2014,Gangbuk,Killed,12
2014,Gangbuk,Injured,"1,773"
2014,Dobong,Killed,14
2014,Dobong,Injured,"1,205"
2014,Nowon,Killed,17
2014,Nowon,Injured,"2,038"
2014,Eunpyeong,Killed,11
2014,Eunpyeong,Injured,"1,889"
2014,Seodaemun,Killed,16
2014,Seodaemun,Injured,"1,590"
2014,Mapo,Killed,20
2014,Mapo,Injured,"2,633"
2014,Yangcheon,Killed,13
2014,Yangcheon,Injured,"2,000"
2014,Gangseo,Killed,32
2014,Gangseo,Injured,"2,614"
2014,Guro,Killed,19
2014,Guro,Injured,"2,205"
2014,Geumcheon,Killed,13
2014,Geumcheon,Injured,"1,535"
2014,Yeongdeungpo,Killed,26
2014,Yeongdeungpo,Injured,"3,128"
2014,Dongjak,Killed,13
2014,Dongjak,Injured,"1,901"
2014,Gwanak,Killed,22
2014,Gwanak,Injured,"2,317"
2014,Seocho,Killed,13
2014,Seocho,Injured,"3,446"
2014,Gangnam,Killed,17
2014,Gangnam,Injured,"5,269"
2014,Songpa,Killed,24
2014,Songpa,Injured,"3,635"
2014,Gangdong,Killed,14
2014,Gangdong,Injured,"2,014"
