region,occurrence,deaths,injuries
Jongno-gu,75,1,148
Jung-gu,74,1,139
Yongsan-gu,118,1,208
Seongdong-gu,99,1,187
Gwangjin-gu,160,4,280
Dongdaemun-gu,130,0,235
Jungnang-gu,115,1,204
Seongbuk-gu,110,2,188
Gangbuk-gu,85,0,183
Dobong-gu,71,2,129
Nowon-gu,128,2,246
Eunpyeong-gu,105,1,196
Seodaemun-gu,92,1,149
Mapo-gu,176,2,328
Yangcheon-gu,106,4,187
Gangseo-gu,164,1,311
Guro-gu,193,3,328
Geumcheon-gu,119,4,217
Yeongdeungpo-gu,231,1,450
Dongjak-gu,117,1,188
Gwanak-gu,167,2,289
Seocho-gu,223,4,407
Gangnam-gu,478,5,933
Songpa-gu,251,3,451
Gangdong-gu,113,2,236
