region,occurrence,deaths,injuries
Jongno-gu,91,2,178
Jung-gu,76,2,130
Yongsan-gu,85,3,150
Seongdong-gu,64,0,120
Gwangjin-gu,143,1,253
Dongdaemun-gu,133,6,240
Jungnang-gu,157,2,266
Seongbuk-gu,119,2,187
Gangbuk-gu,116,4,181
Dobong-gu,72,2,152
Nowon-gu,141,5,233
Eunpyeong-gu,128,0,210
Seodaemun-gu,85,1,140
Mapo-gu,187,1,330
Yangcheon-gu,130,4,214
Gangseo-gu,189,0,328
Guro-gu,149,2,274
Geumcheon-gu,96,3,168
Yeongdeungpo-gu,176,3,310
Dongjak-gu,65,3,108
Gwanak-gu,167,3,275
Seocho-gu,173,0,330
Gangnam-gu,375,4,687
Songpa-gu,220,1,413
Gangdong-gu,144,5,260
