region,occurrence,deaths,injuries
Jongno-gu,89,1,176
Jung-gu,84,1,159
Yongsan-gu,99,1,202
Seongdong-gu,100,1,179
Gwangjin-gu,167,3,305
Dongdaemun-gu,143,2,265
Jungnang-gu,114,1,223
Seongbuk-gu,101,1,160
Gangbuk-gu,100,0,170
Dobong-gu,78,2,141
Nowon-gu,125,0,240
Eunpyeong-gu,109,2,182
Seodaemun-gu,94,1,163
Mapo-gu,167,3,328
Yangcheon-gu,118,1,234
Gangseo-gu,161,1,283
Guro-gu,209,5,385
Geumcheon-gu,124,2,229
Yeongdeungpo-gu,215,0,403
Dongjak-gu,124,0,212
Gwanak-gu,134,1,218
Seocho-gu,253,3,515
Gangnam-gu,522,4,970
Songpa-gu,284,2,504
Gangdong-gu,105,3,187
