region,occurrence,deaths,injuries
Jongno-gu,93,2,176
Jung-gu,76,0,140
Yongsan-gu,104,4,187
Seongdong-gu,85,3,146
Gwangjin-gu,161,4,274
Dongdaemun-gu,135,2,226
Jungnang-gu,163,3,281
Seongbuk-gu,132,0,229
Gangbuk-gu,123,0,225
Dobong-gu,85,2,168
Nowon-gu,189,4,334
Eunpyeong-gu,119,0,228
Seodaemun-gu,92,5,167
Mapo-gu,217,4,408
Yangcheon-gu,129,0,240
Gangseo-gu,158,1,263
Guro-gu,171,4,295
Geumcheon-gu,121,4,222
Yeongdeungpo-gu,217,1,411
Dongjak-gu,95,2,160
Gwanak-gu,178,0,339
Seocho-gu,215,6,421
Gangnam-gu,463,9,881
Songpa-gu,267,1,511
Gangdong-gu,122,1,227
