region,occurrence,deaths,injuries
Jongno-gu,74,0,138
Jung-gu,64,2,98
Yongsan-gu,108,1,199
Seongdong-gu,121,1,245
Gwangjin-gu,150,1,291
Dongdaemun-gu,122,3,210
Jungnang-gu,106,1,186
Seongbuk-gu,103,2,174
Gangbuk-gu,94,1,161
Dobong-gu,56,2,90
Nowon-gu,103,3,161
Eunpyeong-gu,79,1,142
Seodaemun-gu,84,0,120
Mapo-gu,187,0,364
Yangcheon-gu,128,0,247
Gangseo-gu,150,1,279
Guro-gu,157,1,266
Geumcheon-gu,97,2,187
Yeongdeungpo-gu,193,0,338
Dongjak-gu,72,0,118
Gwanak-gu,124,2,213
Seocho-gu,212,0,398
Gangnam-gu,426,0,766
Songpa-gu,241,4,436
Gangdong-gu,110,2,212
