Contract_ID,Zip Code
207120300,158053
208303558,573843
208139992,138050
207148443,612051
208138917,135010
206204834,527871
208111300,621831
208148141,121806
208139664,137060
207116190,402010
208203681,405810
207202478,701240
207148443,612051
207201273,706100
208200277,441400
208115207,608020
206147753,411805
208135369,600043
207202099,410315
191390167,480761
208111032,612050
208156871,330943
207202363,560100
208144998,367852
203202847,445360
207138077,702800
207136998,153801
206132987,407051
208201116,158807
207203422,336892
207201657,780956
207202100,410315
208148141,121806
208148141,121806
207202621,561302
203200161,442081
207126994,411818
207135442,612020
208301982,612830
208131835,443370
197024019,503300
208156871,330943
206118133,645480
202133123,627851
207302206,429450
208159692,621833
208125488,429030
208134901,137070
208202482,139202
208202540,380050
207148750,425836
208160660,704945
207136703,136020
208114339,363811
207301307,540856
207301307,540856
208200148,336060
207119191,156090
208203095,135897
208112743,413010
208156963,500804
208202812,420010
208141699,425110
206302087,506300
207136402,690840
208159473,465220
207202621,561302
207202363,560100
206204377,302120
208201515,449010
208404626,480826
208201938,413854
208112966,425110
208140073,483110
208202365,135080
206203886,312806
208202482,139202
208201939,413854
206302207,573922
208133187,464863
207125585,463828
207147988,135100
208120840,420830
208123938,431060
191400493,410831
208201939,413854
207112340,220938
207201132,250806
207143920,412020
208108066,555110
207100884,464810
208302550,579805
208114701,660320
208106381,405240
206118133,645480
206123594,404250
207120834,621872
208144330,730852
208120703,429450
208148389,790902
207202510,410380
207126994,411818
202135576,656304
207140117,500848
207126156,137070
208135459,110111
208151113,730915
208125320,614040
207148750,425836
207148750,425836
194130214,330882
208117258,472845
208108597,110836
208150078,336832
199201617,138160
205201785,343808
208154106,660984
207135415,110524
208155320,487813
208123174,500520
208121885,635943
207202745,380873
207203609,780250
208131840,482844
208123055,143915
206143285,343804
207117649,152090
208130699,413812
208136492,405240
208135464,110796
207123328,142807
208203888,121807
207150903,140877
208105336,690826
206123277,402200
208105336,690826
208105163,730320
207143632,413822
207129922,404310
207144828,700411
208204075,695963
208160474,121080
208101792,719842
206127940,135509
208111639,137060
206111208,361270
207146743,420020
208115155,463480
208109579,579805
205134284,561223
208101366,133817
206136597,580922
208115155,463480
207201568,220832
208302967,134070
208202937,390110
207118401,631060
208157948,120808
208118431,306814
206302087,506300
208140471,680816
208156317,420010
207116687,600014
207140055,361101
208119385,135841
203201149,706827
203201148,706827
207132542,137040
208143064,425835
207200415,100013
197024008,503310
208150905,503821
206202931,336892
208124135,435040
208102572,464891
207132542,137040
199124067,660140
207103474,570966
207203609,780250
207105853,502860
201202559,570985
208200176,412480
207202501,411310
208150821,670809
208150905,503821
208151759,700070
207116251,134010
205202770,527911
207117200,200972
208135291,443400
208159509,137130
208131840,482844
207122587,641862
208202562,409840
207202513,412010
207301637,413843
205202770,527911
207202745,380873
208202812,420010
205202770,527911
208200994,431083
208160553,121838
208204262,157240
206405246,683240
207202510,410380
208200160,152050
207202478,701240
207104474,664942
208140678,135010
206146070,573240
208303034,740952
207401284,613806
206122187,650801
208125148,573879
208112743,413010
207150032,150709
208200056,445160
208100195,429450
208203681,405810
207131876,302120
208158240,443390
207114147,471020
208200160,152050
207202808,150010
208139707,770230
208202731,411450
208124591,152769
208150078,336832
208116772,580822
206203662,153023
207120688,421200
208200813,750010
207120464,220956
207401260,501200
208144888,343803
207132006,135280
207110776,443822
191380841,449910
208202731,411450
208200813,750010
204112390,740811
208140544,555807
208123055,143915
208203706,456240
207136616,390894
208159705,500170
208301343,630852
204200535,706831
206135709,465210
206203040,680040
205202770,527911
207134965,100845
208203045,361230
203201101,217100
207130658,143914
208155613,133120
208157009,415828
208200270,152051
208202053,600046
207202513,412010
208111300,621831
208405243,137060
208300054,616820
208203685,405804
207143465,200130
208200115,560252
208201511,122050
208201511,122050
208200901,135010
208140544,555807
208200910,441390
199201559,530330
207405835,449872
207301068,612808
208157858,140887
208200160,152050
204201357,120816
208114684,151010
208130947,607060
191390167,480761
208129485,573190
208200160,152050
208200160,152050
208200910,441390
206142442,451821
208117090,138240
207128951,570974
208148475,151022
208201160,446907
208121574,306230
208201160,446907
208202458,411450
201202559,570985
208204124,612060
208202487,402207
208300054,616820
208113247,506253
206202785,546802
207113445,680815
208108597,110836
207301179,617817
208203706,456240
208139312,429881
207201380,302210
207143447,135080
208156219,660931
207117829,502832
194030961,302858
208202486,480070
207153400,573350
207134303,680010
208159983,445925
191610205,134030
204135537,621916
208160030,440816
208404306,425340
208404306,425340
207135653,471833
208133735,690042
208112565,406840
208113247,506253
207137466,617839
208134883,421810
207124459,415855
208135579,314030
208201804,425130
208203685,405804
208124591,152769
207146203,411827
205102838,469801
206203043,360801
206204834,527871
208403938,680792
207122560,465200
203105066,443823
207301068,612808
206119066,570913
208155763,472928
208135659,135090
204139196,138240
207151033,545010
207200099,120130
191315012,135080
206129128,487913
208149204,133110
208204065,695963
208138469,404815
208138469,404815
208130607,464872
191315012,135080
208131024,604080
198201924,415050
191380841,449910
208150078,336832
208130319,150050
208141840,482841
205139835,415808
208103878,660992
207302554,631050
208106381,405240
208133068,151050
208130455,100411
203116501,519803
207134998,704130
208200910,441390
208137170,502837
207101548,110300
208200980,463050
208201939,413854
208200270,152051
200201860,158838
198200553,157879
207201828,412210
208302023,700430
207115910,612020
208120020,704370
207132123,336050
206106631,356842
206203043,360801
208201116,158807
208204393,502827
208203681,405810
206202587,680805
208203681,405810
208104830,403010
207200627,425080
206139093,135280
206203603,530360
208149204,133110
207122560,465200
208202810,420010
208201791,420830
208148389,790902
208200464,330230
208157466,682090
208125206,442784
208405344,613824
208103841,463847
198200553,157879
198201924,415050
201201653,407050
207204131,742080
206143292,621881
207128936,137849
204201357,120816
206202388,760310
208156087,449871
208156087,449871
208134976,361160
191380120,121818
207155199,506055
208105117,140858
208203681,405810
208135794,136051
208200910,441390
206137265,314923
208144998,367852
198201924,415050
207202100,410315
207202504,412480
207147618,403020
208136163,501080
208202084,461180
205200269,220935
207128936,137849
208103276,405310
207152993,220140
208203681,405810
207202953,343833
208159401,140210
207110856,780823
207140626,122946
207141188,500220
208200824,560281
208122079,143220
207110858,135090
207110856,780823
207201601,330709
208138704,361160
207200367,570300
207201132,250806
208149204,133110
208401607,465200
208203685,405804
208201503,306805
208200578,690120
199200725,135010
201200924,621920
208147453,405840
207204027,360013
208155340,730814
208114684,151010
191610205,134030
208155166,700092
206136998,122842
208141864,702885
206136173,456812
208146010,690836
208200270,152051
208122079,143220
207108442,617808
206203603,530360
208203681,405810
206115620,405310
191380120,121818
206135299,477815
200104510,780949
208157109,443390
208158396,137070
198200720,140818
208201304,463050
207203610,780250
208102516,445932
208202017,100871
206202935,431080
208202950,135280
207105460,134848
208117726,361814
207140057,429450
207122709,320040
197024019,503300
208154938,462080
208150069,573390
207117572,422090
207201479,445160
206147983,331170
208160262,431804
208130940,690090
207110854,153010
207110854,153010
207149393,140780
208130631,137819
207105050,619961
207201087,137071
208134364,157897
208160474,121080
207147039,156030
207110856,780823
208135142,415852
208200148,336060
208401428,412270
208143470,618270
207140698,463410
207140698,463410
208111499,143845
208146010,690836
208139367,120833
207123179,122820
197040446,561180
208145075,157220
205110661,621873
205110661,621873
208101962,790884
207302038,487826
208136057,135892
208135418,700809
208153984,704190
206139575,467070
207145901,420020
206302126,134010
201201653,407050
206143806,570360
201144305,330060
208204075,695963
205110661,621873
208129037,406840
198200720,140818
206126175,429450
208117293,740040
208139474,689853
191400492,410315
208104935,635805
207136807,618270
208139545,360012
208203778,690180
203117287,476881
191650683,151878
208157550,702260
208203828,703090
207145463,609810
208202810,420010
206123149,612040
208202088,461180
206128254,120833
208200994,431083
208129037,406840
207134513,135875
208142852,449925
208139367,120833
208105080,135090
206130354,480865
197023065,500850
208156317,420010
208131482,630857
208203809,156030
208150181,135080
