subject,day,value
1,1,15523
1,2,10831
1,3,17678
1,4,10337
1,5,3070
1,6,9846
1,7,1062
2,1,11654
2,2,2270
2,3,13216
2,4,8752
2,5,7220
2,6,10022
2,7,12058
3,1,7076
3,2,11713
3,3,1583
3,4,11738
3,5,14266
3,6,10085
3,7,4643
4,1,9276
4,2,8514
4,3,3748
4,4,0
4,5,0
4,6,5902
4,7,1644
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
6,1,10982
6,2,9586
6,3,3504
6,4,8648
6,5,7016
6,6,6124
6,7,746
