class,dead,injured
14세 이하,16,"2,680"
15~20세,22,"4,540"
21~30세,60,"12,775"
31~40세,48,"12,073"
41~50세,59,"12,088"
51~60세,76,"9,837"
61-64세,23,"2,141"
65~70세,43,"2,085"
71세이상,82,"1,499"
