class,dead,injured
14세 이하,5,"2,305"
15~20세,20,"3,868"
21~30세,47,"10,932"
31~40세,44,"11,592"
41~50세,48,"10,562"
51~60세,70,"10,531"
61-64세,16,"2,374"
65~70세,38,"2,300"
71세이상,90,"2,297"
