class,dead,injured
14세 이하,4,"2,549"
15~20세,33,"4,767"
21~30세,72,"11,620"
31~40세,40,"11,500"
41~50세,67,"11,268"
51~60세,69,"9,815"
61-64세,27,"2,315"
65~70세,38,"2,133"
71세이상,85,"1,658"
