name,value
종로구,30919
중구,20570
용산구,52481
성동구,60171
광진구,72456
동대문구,85048
중랑구,80448
성북구,89480
강북구,66666
도봉구,51222
노원구,110178
은평구,95616
서대문구,62888
마포구,77978
양천구,107465
강서구,65673
구로구,83197
금천구,55992
영등포구,103251
동작구,100203
관악구,84049
서초구,90857
강남구,112021
송파구,198851
강동구,124664
