name,lat,lon
cafebene,35.84414575,128.5300512
cafebene,35.18502647,126.8186606
cafebene,35.17998803,128.1369346
cafebene,34.7724473,127.7470526
cafebene,37.58875009,127.0323729
cafebene,35.96775076,126.7382187
cafebene,37.51295472,127.0315982
cafebene,33.48797901,126.4311525
cafebene,38.09099547,127.273572
cafebene,37.8679218,127.7201428
cafebene,37.96913935,124.7212571
cafebene,35.8183953,128.5395679
cafebene,37.05697414,127.0538804
cafebene,37.4884688,129.1091203
cafebene,35.55079739,129.2635701
cafebene,33.39396061,126.2404594
cafebene,37.51252263,127.0588209
cafebene,35.82394755,128.7367375
cafebene,37.66465691,128.6915348
cafebene,37.49413703,126.6810357
cafebene,36.00568137,129.3450547
cafebene,36.7904582,127.1161028
cafebene,37.40251229,126.9219564
cafebene,34.96973466,127.5903003
cafebene,37.23904291,127.5697069
cafebene,37.32336304,127.9808373
cafebene,37.64269852,127.0651824
cafebene,37.49322695,127.1458814
cafebene,35.89433776,127.7383319
cafebene,35.82659482,128.548344
cafebene,37.55043483,127.1446983
cafebene,35.13758209,128.9769531
cafebene,36.79468609,127.1045911
cafebene,35.68599305,129.4735636
cafebene,38.02622276,127.0676392
cafebene,37.65307014,126.894312
cafebene,38.1066616,127.9881452
cafebene,37.74179903,127.0870529
cafebene,37.37854856,126.7831058
cafebene,33.25590089,126.5638125
cafebene,33.50569249,126.5413878
cafebene,36.3875382,127.3789539
cafebene,37.4948315,126.4922327
cafebene,37.86441122,127.7237588
cafebene,34.47847872,126.2642075
cafebene,37.64206658,126.9392143
cafebene,35.14292393,126.9208596
cafebene,36.84126966,127.1048159
cafebene,37.32855075,127.0750785
cafebene,36.65598715,126.6734548
cafebene,33.48246305,126.4948148
cafebene,35.86912671,129.2557888
cafebene,37.29230058,127.0687089
cafebene,36.55053838,128.7359733
cafebene,35.16977275,128.9495707
cafebene,37.0037659,127.1045892
cafebene,35.11935926,129.0161685
cafebene,36.10175157,127.1157208
cafebene,36.97794995,128.3624663
cafebene,35.56840979,129.3285368
cafebene,35.14703776,129.0659119
cafebene,37.61298295,127.0979703
cafebene,38.12098493,128.6305426
cafebene,35.06964506,129.0796422
cafebene,37.64317774,126.7896628
cafebene,36.9037944,126.6833439
cafebene,37.55493296,127.1352865
cafebene,34.57540744,126.5953333
cafebene,35.89509558,128.5170855
cafebene,37.29609042,127.6372647
cafebene,36.34337817,126.5897046
cafebene,35.39229768,128.4808995
cafebene,37.48260814,126.7848314
cafebene,37.28736966,127.0375887
cafebene,33.50648726,126.5254726
cafebene,34.89132847,128.6370445
cafebene,37.52515405,127.05255
cafebene,36.77445092,127.1299282
cafebene,37.65207052,126.888942
cafebene,37.08101142,127.0532451
cafebene,36.08815787,128.3550534
cafebene,33.54250189,126.6689827
cafebene,36.03546203,129.3795627
cafebene,35.25160931,128.6197525
cafebene,36.69401108,126.8362395
cafebene,35.95958916,126.9868484
cafebene,35.16100544,129.1936167
cafebene,33.23410163,126.3699316
cafebene,37.66771579,126.7994
cafebene,37.33934809,126.8158091
cafebene,36.50491216,127.2624397
cafebene,36.62194656,127.3589155
cafebene,36.50437932,127.2637863
cafebene,35.31189696,126.7434279
cafebene,35.62967586,129.3433098
cafebene,33.51700695,126.5024758
cafebene,35.57345501,129.3145438
cafebene,36.47965229,127.2551682
cafebene,36.80546705,127.1301106
cafebene,37.42069839,126.8901161
cafebene,35.86359713,128.60133
cafebene,37.27630616,127.0161374
cafebene,37.63888959,126.6728223
cafebene,35.13201345,126.892286
cafebene,35.8662798,128.6047761
cafebene,35.16337418,126.8199248
cafebene,37.32324784,127.9435962
cafebene,36.84771212,127.9890063
cafebene,37.59895742,127.0921631
cafebene,36.30544519,127.5756622
cafebene,35.89116195,128.5906999
cafebene,35.16830217,129.1143244
cafebene,37.75788636,126.7723345
cafebene,37.482434,127.1261287
cafebene,33.47427978,126.5489336
cafebene,35.96184229,126.6788595
cafebene,36.34626826,127.339319
cafebene,35.12290237,126.9148275
cafebene,35.80429128,128.5193832
cafebene,37.34775299,127.9452029
cafebene,33.49698307,126.5374995
cafebene,35.55498596,129.357174
cafebene,35.08107954,129.0145111
cafebene,36.31265258,127.3189833
cafebene,34.86669534,128.6894465
cafebene,35.2306809,129.0847468
cafebene,36.33589672,127.3836757
cafebene,37.4662076,126.8871151
cafebene,37.55522519,126.910462
cafebene,37.64419657,126.6273266
cafebene,35.24558524,129.2140091
cafebene,36.10979832,127.4876649
cafebene,37.83768278,127.0649992
cafebene,35.17549436,129.1259995
cafebene,37.00697602,127.2715035
cafebene,36.67135542,127.4977581
cafebene,36.94058048,126.790788
cafebene,37.54780053,127.0214374
cafebene,37.58190436,128.3272786
cafebene,35.17594634,126.7993027
cafebene,37.48564293,127.0443407
cafebene,37.52016073,127.056379
cafebene,36.15927359,128.3401856
cafebene,37.53340205,126.6589059
cafebene,37.7197258,127.1838265
cafebene,35.07543355,128.9764652
cafebene,36.65104442,127.4572103
cafebene,35.62839304,129.4410713
cafebene,37.27804457,127.1517028
cafebene,35.87213602,128.5940395
cafebene,35.87393494,128.6384829
cafebene,37.62338363,126.6978019
cafebene,37.47732302,126.8877043
cafebene,37.44062764,126.4613843
cafebene,37.85234193,127.7451974
cafebene,35.8175992,128.7212602
cafebene,37.64295399,127.120621
cafebene,35.20517273,126.8981592
cafebene,36.85448455,127.4434833
cafebene,37.53260174,126.646573
cafebene,35.54717605,129.3243061
cafebene,35.82517749,129.28612
cafebene,37.60283265,126.6564874
cafebene,37.29443774,127.1188713
cafebene,37.29230598,127.0508899
cafebene,35.56523802,129.1242947
cafebene,33.49170882,126.4695558
cafebene,35.33119171,129.0110848
cafebene,35.94294221,128.6464846
cafebene,35.20655227,126.8606298
cafebene,37.21781447,127.0781819
cafebene,37.27660912,127.0601974
cafebene,37.87469118,127.7447951
cafebene,37.40143737,126.7104052
cafebene,37.3992311,126.7363487
cafebene,37.07678642,127.132498
cafebene,35.23680025,128.9028268
cafebene,38.17484595,128.6078697
cafebene,35.97195361,128.9379922
